Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
bare_performance,7288072994988,394362,74oz Water Jug,74oz-water-bottle-1,https://bareperformancenutrition.com/products/74oz-water-bottle-1,Accessories,"[""74ozjug"", ""Accessories"", ""Accessory"", ""Bottle"", ""gear"", ""Shaker/Water Bottles""]",22.99,,USD,1,2026-05-01T01:25:53.963524,"https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_KodaJug_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_KodaJug_2.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_KodaJug_3.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_KodaJug_4.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/74_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/74_2.jpg"
bare_performance,8098315272364,633440,Adventure Hoodie,adventure-hoodie,https://bareperformancenutrition.com/products/adventure-hoodie,Accessories,[],69.99,,USD,1,2026-05-01T01:25:53.890744,"https://cdn.shopify.com/s/files/1/1103/4864/files/hoodie_98978120-4263-4f27-ab1b-96eba5d954c5.png,https://cdn.shopify.com/s/files/1/1103/4864/files/hoodie2.png,https://cdn.shopify.com/s/files/1/1103/4864/files/hoodie.png"
bare_performance,7643507359916,125023,BPN Flags,bpn-flags,https://bareperformancenutrition.com/products/bpn-flags,Accessories,"[""gear""]",39.99,,USD,1,2026-05-01T01:25:53.881604,https://cdn.shopify.com/s/files/1/1103/4864/files/a02.21.2025_7-min.jpg
bare_performance,7687198965932,987999,BPN x CIELE™ Endurance Cap,bpn-x-ciele-endurance-cap,https://bareperformancenutrition.com/products/bpn-x-ciele-endurance-cap,Accessories,"[""Apparel"", ""exclude_rebuy"", ""Hat"", ""Hats""]",44.99,,USD,1,2026-05-01T01:25:53.786438,"https://cdn.shopify.com/s/files/1/1103/4864/files/z2026-2-12_-_BPN-19_websize.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2026-2-12_-_BPN-44_websize.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2026-2-12_-_BPN-52_websize.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2026-2-12_-_BPN-50_websize.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2026-2-12_-_BPN-55_websize.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2026-2-12_-_BPN-29_websize.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-11_-_BPN-642_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-13_BPN_Product_Flat_Lays-23_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z02.21.2025_2_1_-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z02.21.2025_3-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z02.21.2025_1_1_-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/zBPN_3841_1_-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/zSUMMER_SALE_2025_MITCH_SHOOT_06.23.25-46_1_-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/zSUMMER_SALE_2025_MITCH_SHOOT_06.23.25-22-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/G1MHat.png,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-11_-_BPN-475_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-13_BPN_Product_Flat_Lays-27_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-13_BPN_Product_Flat_Lays-34_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/zBLACK_CIELE_HORIZONTAL_WEB_1_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/Pro-CaptureOne0235-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-13_BPN_Product_Flat_Lays-1_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/BPN_CIELE_Web_2.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/BPN_CIELE_Web_3.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/BPN_CIELE_Web_4.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/yellow1.png,https://cdn.shopify.com/s/files/1/1103/4864/files/yellow2.png,https://cdn.shopify.com/s/files/1/1103/4864/files/yellow4.png,https://cdn.shopify.com/s/files/1/1103/4864/files/yellow5.png,https://cdn.shopify.com/s/files/1/1103/4864/files/yellow6.png,https://cdn.shopify.com/s/files/1/1103/4864/files/yellow7.png"
bare_performance,8283169554604,955000,BPN x Rhone / Backspin Tee,bpn-x-rhone-black-tee,https://bareperformancenutrition.com/products/bpn-x-rhone-black-tee,,"[""exclude_rebuy"", ""SEARCHANISE_IGNORE""]",68.0,,USD,1,2026-05-01T01:25:53.875629,"https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.2025_7-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.2025_16-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/zScreenshot_2025-07-29_at_9.17.59_AM.jpg"
bare_performance,8283169161388,933000,BPN x Rhone / Black - Invictus Ripstop Short,bpn-x-rhone-black-3-short,https://bareperformancenutrition.com/products/bpn-x-rhone-black-3-short,,"[""exclude_rebuy"", ""SEARCHANISE_IGNORE""]",94.0,,USD,1,2026-05-01T01:25:53.830271,"https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.20258-min-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/zScreenshot_2025-07-29_at_9.12.52_AM.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.202510-min-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.202511-min-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.202512-min-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.202513-min-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.202514-min-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.202515-min-min.jpg"
bare_performance,8283169390764,944000,BPN x Rhone / Olive - Invictus Ripstop Short,bpn-x-rhone-olive-3-short,https://bareperformancenutrition.com/products/bpn-x-rhone-olive-3-short,,"[""exclude_rebuy"", ""SEARCHANISE_IGNORE""]",94.0,,USD,1,2026-05-01T01:25:53.833239,"https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.2025_20-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/zScreenshot_2025-07-29_at_9.12.52_AM_022c5bff-5d25-4e57-b3e2-f9a782493e11.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.2025_21-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/AdobeExpress-file-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.2025_17-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/02.21.2025_18-min.jpg"
bare_performance,7513804964012,282864,Car Decals,car-decals,https://bareperformancenutrition.com/products/car-decals,Accessories,"[""gear"", ""Sticker""]",3.99,,USD,1,2026-05-01T01:25:53.958534,"https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_Apparel_Decals_Web_1_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_Apparel_Decals_Web_1_2.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_Apparel_Decals_Web_1_4.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_Apparel_Decals_Web_1_3.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_Apparel_Decals_Web_1_5.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_Apparel_Decals_Web_1_6.jpg"
bare_performance,11181028117,000011,Classic BPN Tee / Black,bpn-tee,https://bareperformancenutrition.com/products/bpn-tee,Accessories,"[""Apparel"", ""classicbpntee-black"", ""growaov-collection"", ""Shirt"", ""Shirts""]",29.99,,USD,1,2026-05-01T01:25:53.983920,"https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_BlackTee_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/bpntee2-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_BlackTee_3.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_NextLevel_Size.webp,https://cdn.shopify.com/s/files/1/1103/4864/products/blacktee_b97f58ab-61b9-46f1-9e2e-06f02d49c6f6.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/bpntee1-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_BlackTee_4.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPNblack-min.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/AG_Web_Hero_BlackTee_2.jpg"
bare_performance,3567104262224,090000,Classic BPN Tee / Navy,bpn-tee-navy,https://bareperformancenutrition.com/products/bpn-tee-navy,Accessories,"[""Apparel"", ""classicbpntee-navy"", ""growaov-collection"", ""Shirt"", ""Shirts""]",29.99,,USD,1,2026-05-01T01:25:53.981615,"https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-11_-_BPN-132_websize_1_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-11_-_BPN-134_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/files/z2025-11-13_BPN_Product_Flat_Lays-261_websize_1.jpg,https://cdn.shopify.com/s/files/1/1103/4864/products/BPN_NextLevel_Size_4a5625e7-4688-4de2-8354-a113de7c0e18.webp"
