brand_slug,display_name,products_db,available,unavailable,no_images,no_price,excluded,in_merged_json,scraper_type,base_url,top_categories
soccer_post,Soccer Post,12844,9952,2892,87,369,0,0,shopify_api,https://soccerpost.com,Apparel (1772); Apparel (1524); Apparel (1480); Apparel (1212); Other (854)
soccer_zone_usa,Soccer Zone USA,5750,5578,172,0,0,0,0,shopify_api,https://soccerzoneusa.com,Other (5733); Apparel (9); Other (2); Other (1); Other (1)
golaco_kits,Golaco Kits,4542,4196,346,0,0,0,0,shopify_api,https://golacokits.com,Other (4542)
inno_supps,Inno Supps,1685,1623,62,53,17,0,0,shopify_api,https://innosupps.com,HMB (420); Protein - Generic (99); Other (84); Pre-Workout (71); Fat Burner (62)
allbirds,Allbirds,1200,955,245,68,0,0,0,shopify_api,https://www.allbirds.com,Bundle (958); Apparel (119); Apparel (67); Accessories (45); Apparel (8)
bear_komplex,Bear KompleX,1113,997,116,2,0,0,0,shopify_api,https://www.bearkomplex.com,Apparel (204); Accessories (169); Apparel (123); Apparel (49); Apparel (30)
nike,Nike,1100,1073,27,0,0,0,0,nike_api,https://www.nike.com,Apparel (683); Other (394); Other (22); Gift Card (1)
soccer90,Soccer90,1023,989,34,0,0,0,0,shopify_api,https://soccer90.com,Apparel (149); Accessories (129); Apparel (121); Apparel (99); Apparel (95)
now_foods,NOW Foods,967,666,301,0,0,0,0,retailer_vendor_shopify,https://www.swansonvitamins.com,Longevity (962); Longevity (1); Sleep Aid (1); Longevity (1); Longevity (1)
fifa_store,FIFA Official Store,880,796,84,0,0,0,0,shopify_api,https://store.fifa.com,Apparel (225); Apparel (180); Apparel (94); Apparel (82); Other (65)
first_phorm,1st Phorm,533,473,60,12,0,0,533,shopify_api,https://www.1stphorm.com,Apparel (277); Apparel (235); Other (13); Other (3); Other (3)
azteca_soccer,Azteca Soccer,500,463,37,0,0,0,0,shopify_api,https://aztecasoccer.com,Apparel (226); Other (140); Apparel (70); Other (28); Other (13)
optimum_nutrition,Optimum Nutrition,448,314,134,2,120,0,387,playwright,https://www.optimumnutrition.com,Protein - Generic (257);  (35); Collagen (24); BCAA / EAA (21); Accessories (18)
ghost_lifestyle,Ghost Lifestyle,433,416,17,130,1,0,417,shopify_api,https://ghostlifestyle.com,BCAA / EAA (129); Pre-Workout (30); Apparel (27); Accessories (22); Pre-Workout (20)
outdoor_voices,Outdoor Voices,353,322,31,0,0,0,0,shopify_api,https://www.outdoorvoices.com,Other (60); Accessories (48); Apparel (42); Apparel (33); Apparel (30)
football_town,Football Town,350,279,71,0,0,0,0,shopify_api,https://footballtown.com,Other (49); Other (33); Other (33); Apparel (24); Apparel (20)
o_positiv,O Positiv,328,328,0,0,1,0,0,shopify_api,https://opositiv.com,Other (220); Probiotics / Gut (106); Bundle (2)
codeage,Codeage,316,263,53,0,0,0,0,shopify_api,https://www.codeage.com,Collagen (97); Greens / Superfoods (49); Collagen (32); Collagen (30); Collagen (27)
rival_boxing,Rival Boxing,287,251,36,0,0,0,0,shopify_api,https://rivalboxing.us,Accessories (25); Other (24); Accessories (17); Accessories (14); Apparel (14)
jshealth_vitamins,JSHealth Vitamins,280,247,33,2,20,0,0,shopify_api,https://us.jshealthvitamins.com,Bundle (144); Collagen (76); Energy Drink (31); Bundle (9); Hair / Skin / Nails (4)
maryruth_organics,MaryRuth Organics,268,218,50,0,2,0,268,shopify_api,https://www.maryruthorganics.com,Nootropic / Focus (69); Nootropic / Focus (62); Nootropic / Focus (31); Nootropic / Focus (26); Hair / Skin / Nails (19)
true_nutrition,True Nutrition,238,232,6,0,0,0,238,shopify_api,https://www.truenutrition.com,Protein - Whey Blend (46); Pre-Workout (42); Protein - Whey Blend (35); Protein - Generic (30); Hydration / Electrolytes (27)
five_percent_nutrition,5% Nutrition,229,224,5,0,2,0,229,shopify_api,https://5percentnutrition.com,Apparel (115); Pre-Workout (60); Apparel (28); Longevity (25); Gift Card (1)
raw_nutrition,RAW Nutrition,223,132,91,0,0,0,190,shopify_api,https://www.getrawnutrition.com,Apparel (55); Other (55); Protein - Generic (35); Apparel (19); Protein - Whey Blend (12)
trx,TRX Training,222,214,8,2,34,0,0,shopify_api,https://www.trxtraining.com,Other (59); Other (55); Other (37); Other (17); Other (6)
garden_of_life,Garden of Life,215,135,80,0,0,0,0,retailer_vendor_shopify,https://www.swansonvitamins.com,Other (215)
cellucor,Cellucor (C4),212,156,56,1,3,0,188,shopify_api,https://www.cellucor.com,Pre-Workout (42); Pre-Workout (31); Other (20); Other (16); Pre-Workout (13)
iron_bull_strength,Iron Bull Strength,212,206,6,15,0,0,0,shopify_api,https://ironbullstrength.com,Longevity (41); Other (13); Accessories (9); Longevity (9); Zinc (8)
goli,Goli Nutrition,206,204,2,3,0,0,0,shopify_api,https://goli.com,Other (203); Other (2); Gift Card (1)
nutrabio,NutraBio,201,162,39,0,1,1,201,shopify_api,https://www.nutrabio.com,Other (83); Pre-Workout (50); Apparel (11); Apparel (9); Accessories (9)
redcon1,Redcon1,182,140,42,0,0,1,169,shopify_api,https://redcon1.com,Apparel (79); Apparel (38); Other (32); Accessories (5); Apparel (4)
core_nutritionals,Core Nutritionals,176,152,24,8,8,0,0,shopify_api,https://corenutritionals.com,Other (104); Other (33); Pre-Workout (18); Other (16); Apparel (2)
naked_nutrition,Naked Nutrition,175,146,29,0,0,1,175,shopify_api,https://nakednutrition.com,Protein - Plant (65); Hydration / Electrolytes (58); Protein - Whey Blend (19); Longevity (13); Apparel (9)
promix,Promix Nutrition,168,150,18,13,9,1,142,shopify_api,https://promixnutrition.com,BCAA / EAA (45); Fat Burner (30); Protein - Whey Blend (19); Other (17); Apparel (11)
muscletech,MuscleTech,160,97,63,4,2,0,140,shopify_api,https://www.muscletech.com,Other (77); Accessories (8); Fat Burner (7); Creatine (7); Creatine (6)
