Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
bsn,body_and_fit_9736319304009,1084846,Amino X,amino-x,https://www.bodyandfit.com/products/amino-x,Consumable,[],21.49,21.49,USD,1,2026-04-30T22:22:06.420893,"https://cdn.shopify.com/s/files/1/0931/6660/0521/files/amino-x_Image_01.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/amino-x_Image_02.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/04952_Image_01.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/04954_Image_01.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/01216_Image_01.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/06269_Image_01.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/01215_Image_01.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/04953_Image_01.png,https://cdn.shopify.com/s/files/1/0931/6660/0521/files/10973_Image_01.png"
bsn,nutrition_warehouse_au_7542129098979,147584,Amino X EAA's by BSN,amino-x-eaas-by-bsn,https://www.nutritionwarehouse.com.au/products/amino-x-eaas-by-bsn,EAAs,"[""All Products"", ""Amino Acid Blends"", ""Amino Acids"", ""Gain Muscle"", ""Sports Nutrition""]",49.95,,USD,0,2026-04-30T22:14:13.563274,"https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-amino-x-eea-25serves-watermelon-smash.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-amino-x-eea-25serves-purple-people-eater.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-amino-x-eea-25serves-white-bark-raspberry.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-amino-x-eea-25serves-strawberry-dragonfruit.jpg"
bsn,nutrition_warehouse_au_7540711456995,128437,Amino X by BSN,amino-x-by-bsn,https://www.nutritionwarehouse.com.au/products/amino-x-by-bsn,BCAAs,"[""All Products"", ""Amino Acid Blends"", ""Amino Acids"", ""Gain Muscle"", ""Sports Nutrition"", ""Top 10 Amino Acids"", ""Tropical Flavours""]",49.95,,USD,1,2026-04-30T22:14:13.652487,"https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-70serves-fruitpunch.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-70serves-watermelon.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-70serves-blueraz.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-30serves-watermelon.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-30serves-blueraz.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-30serves-grape.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-30serves-strawberrydragonfruit.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/products/bsn-supplements-amino-x-30serves-tropicalpineapple.jpg"
bsn,supplement_hunt_6774426796209,B-4252-CC-2S1,BSN AMINOx Energy & Recovery 20 Servings,bsn-aminox,https://www.supplementhunt.com/products/bsn-aminox,Amino Acids,"[""Amino Acids"", ""BCAA & Recovery""]",19.99,29.99,USD,0,2026-04-30T22:14:39.711177,"https://cdn.shopify.com/s/files/1/0554/4542/2257/products/BSN_AminoX_20_serve_Cola_flavor.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/products/BSN_AminoX_20_serve_Cherry_Cola_flavor.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/products/BSN_AminoX_20_serve_dr_amino_flavor.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/products/BSNAminoX20servesuppfacts_52e68155-5f19-4c7d-b549-e0e624fc81df.jpg"
bsn,nz_muscle_10199629168821,834266003266,BSN Amino-X,bsn-aminox,https://www.nzmuscle.co.nz/products/bsn-aminox,,"[""bcaa""]",49.95,,USD,0,2026-04-30T22:15:00.307642,"https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn_aminox_c021d26a-f876-4ff4-9be2-920bef3fb1de.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn_aminox_4_6ff5d541-a4b4-49c9-92fc-3758a25a32dc.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn_aminox_3_096c3bff-7f84-4c71-962b-7f0efc824744.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn_aminox_6_434a282a-5c6e-45e1-bfd8-544308ca8f4d.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn_aminox_5_e879eb86-9863-44aa-82d6-d83029eeb7b5.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn_aminox_7_69769b53-8bb3-43fc-ae5b-845b55d5c234.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn_aminox_2_628eee20-1156-4807-83aa-051a3010ffda.jpg"
bsn,tiger_fitness_2049143865402,2760252,BSN AminoX EAAs,bsn-amino-x-eaa,https://www.tigerfitness.com/products/bsn-amino-x-eaa,Supplement,"[""ALL"", ""Amino Acids"", ""Essential Amino Acids (EAAs)"", ""Muscle Recovery Supplements"", ""rocket-hide"", ""Supplements""]",34.99,,USD,0,2026-04-30T22:13:21.768098,"https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760254-332596.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760254-227972.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760254-832116.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760252-497994.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760252-470569.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760252-991758.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760253-340621.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-aminox-eaas-muscle-support-recovery-2760253-773031.jpg"
bsn,supplement_hunt_8077930725553,B-AX6377-BR,BSN AminoX Endurance & Recovery 30 Servings,bsn-aminox-endurance-recovery-30-servings,https://www.supplementhunt.com/products/bsn-aminox-endurance-recovery-30-servings,Amino Acids,"[""Amino Acids"", ""BCAA & Recovery""]",14.99,33.99,USD,0,2026-04-30T22:14:39.641394,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAminoX30serveBlueRaz.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAminoX30serveFruitPunch.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAminoX30serveBlueRazactionshot2.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAminoX30serveBlueRazactionshot1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAminoX30serveBlueRazactionshot3.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAminoX30serveBlueRazsuppfacts1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAminoX30serveFruitPunchsuppfacts1.jpg"
bsn,supplement_hunt_8137943318705,B-AX6476-BR,BSN AminoX Endurance & Recovery 70 Servings,bsn-aminox-endurance-recovery-70-servings,https://www.supplementhunt.com/products/bsn-aminox-endurance-recovery-70-servings,Amino Acids,"[""Amino Acids"", ""BCAA & Recovery""]",24.99,49.99,USD,0,2026-04-30T22:14:39.630689,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAMINOXBLUERASPBERRY70serve.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAMINOXBLUERASPBERRY70serveactionshot2.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNAMINOXBLUERASPBERRY70serveactionshot1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSN_AMINO_X_BLUE_RASPBERRY_70_serve_supp_facts_1.jpg"
bsn,tiger_fitness_1801986736186,2760188,BSN AminoX®,bsn-aminox,https://www.tigerfitness.com/products/bsn-aminox,Supplement,"[""ALL"", ""Amino Acids"", ""BCAA"", ""BCAA Supplements"", ""Muscle Recovery Supplements"", ""NoPayPal-JP"", ""rocket-hide"", ""Supplements""]",32.99,,USD,0,2026-04-30T22:13:21.770330,"https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61t9e8UzwML._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61PzvUIekrL._AC_SL1000.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61se7hD1idL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/71WNN3jSkiL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61J7pRAjhOL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61tresK7sDL._AC_SL1000.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61pkXJDt06L._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/6117614VrnL._AC_SL1000.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/71ASH8iHemL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/817uLmMTpgL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61ZoOQBrK3L._AC_SL1000.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61bS2tAhmZL._AC_SL1000.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61c9-9XYo9L._AC_SL1000.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/71FL8oJUGdL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/71gIkk5MtAL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/71iJQYf7qdL._AC_SL1500.jpg"
bsn,tiger_fitness_2050509537338,2760153,BSN Cellmass 2.0,bsn-cellmass-2-0,https://www.tigerfitness.com/products/bsn-cellmass-2-0,Supplement,"[""ALL"", ""Amino Acids"", ""L-Glutamine"", ""Muscle Recovery Supplements"", ""rocket-hide"", ""Sports"", ""Supplements""]",64.99,,USD,0,2026-04-30T22:13:21.772020,"https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-cellmass-20-advanced-strength-formula-2760155-215937.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-cellmass-20-advanced-strength-formula-2760155-889579.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-cellmass-20-advanced-strength-formula-2760155-220685.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-cellmass-20-advanced-strength-formula-2760155-699338.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-cellmass-20-advanced-strength-formula-2760153-179518.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/bsn-bsn-cellmass-20-advanced-strength-formula-2760153-716708.jpg"
bsn,supplement_hunt_8077989511345,B-CM1653-BR,BSN Cellmass 2.0 Advanced Strength 25 Servings,bsn-cellmass-2-0-advanced-strength-25-servings,https://www.supplementhunt.com/products/bsn-cellmass-2-0-advanced-strength-25-servings,Amino Acids,"[""Amino Acids"", ""BCAA & Recovery""]",24.99,59.99,USD,0,2026-04-30T22:14:39.640427,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNCellmass2.01.09poundBlueRaz.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNCellmass2.01.09poundBlueRazactionshot3.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNCellmass2.01.09poundBlueRazactionshot2.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNCellmass2.01.09poundBlueRazactionshot1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/BSNCellmass2.01.09poundBlueRazsuppfacts1.jpg"
bsn,nz_muscle_10229403451573,,BSN Creatine,bsn-creatine,https://www.nzmuscle.co.nz/products/bsn-creatine,,[],39.95,,USD,0,2026-04-30T22:15:00.253491,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/bsn-creatine-300g-creatine-28473619546179.jpg
bsn,tiger_fitness_1801987063866,2760211,BSN Creatine DNA™,bsn-micronized-creatine-monohydrate,https://www.tigerfitness.com/products/bsn-micronized-creatine-monohydrate,Supplement,"[""ALL"", ""Brain & Cognitive"", ""Creatine"", ""Creatine Monohydrate"", ""rocket-hide"", ""Sports"", ""Sports Supplements""]",39.99,,USD,0,2026-04-30T22:13:21.771348,"https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61iqjpygZCL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/71NBrfffTsL._AC_SL1500.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/61g6hMx5KXL._AC_SL1002.jpg,https://cdn.shopify.com/s/files/1/0133/8576/0826/files/71Liwzt9YYL._AC_SL1500.jpg"
