Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
cymbiotika,7872673251375,xxxxxxxxx,$65 Gift Card,65-gift-card,https://cymbiotika.com/products/65-gift-card,Gift Cards,"[""relaunch_pdp"", ""singlepurchaseonly"", ""streak_gift""]",65.0,,USD,1,2026-04-30T22:43:49.613168,https://cdn.shopify.com/s/files/1/1824/8017/files/giftcard.png
cymbiotika,8156023521327,RET-BRAINCMP-PKT-12,Brain Complex 12-Pack Starter Kit,daily-brain-complex-12-pack,https://cymbiotika.com/products/daily-brain-complex-12-pack,,"[""hidden"", ""promo_hidden"", ""singlepurchaseonly""]",32.0,,USD,1,2026-04-30T22:43:49.602067,https://cdn.shopify.com/s/files/1/1824/8017/files/PackagingRenders_HalfCnt_BrainComplex_Box_Packet_MS_93f1814c-0476-449d-b28d-5898a8157ec5.png
cymbiotika,7288944787503,MER-ARISETOT-BAG-00,Cymbiotika Arise Tote Bag,cymbiotika-arise-tote-bag,https://cymbiotika.com/products/cymbiotika-arise-tote-bag,Apparel & Accessories,"[""hide-addtocart-btn"", ""promo_hidden""]",,,USD,0,2026-04-30T22:43:49.632798,https://cdn.shopify.com/s/files/1/1824/8017/files/4000x4000.png
cymbiotika,7696578215983,MER-WELLNESS-HAT-00,Cymbiotika I'm into Wellness Hat,summer-wellness-hat,https://cymbiotika.com/products/summer-wellness-hat,Baseball Caps,"[""merch"", ""singlepurchaseonly""]",45.0,,USD,1,2026-04-30T22:43:49.626847,"https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_imintowellness_front_5C6A3721.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_imintowellness_angled_5C6A3723.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_imintowellness_side_5C6A3725.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_imintowellness_back_5C6A3729.png"
cymbiotika,7924874706991,MER-BLCKOFFS-HAT-00,Cymbiotika Icon Performance Snapback - Black/White,cymbiotika-icon-performance-snapback-black-white,https://cymbiotika.com/products/cymbiotika-icon-performance-snapback-black-white,Baseball Caps,"[""cym_status_available-all"", ""merch"", ""singlepurchaseonly""]",55.0,,USD,1,2026-04-30T22:43:49.622429,"https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_sidelogo_front_5C6A3720.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_sidelogo_side_5C6A3712.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_sidelogo_back_5C6A3710.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_sidelogo_angled_5C6A3717.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_sidelogo_front_5C6A3697.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_centerlogo_side_5C6A3699.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_sidelogo_back_5C6A37102.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_sidelogo_angled_5C6A3698.png"
cymbiotika,7872670498863,MER-LTHRJOUR-GFT-00,Cymbiotika Journal,mystery-gift-journal,https://cymbiotika.com/products/mystery-gift-journal,Memo Pads,"[""streak_gift""]",35.0,,USD,1,2026-04-30T22:43:49.629066,"https://cdn.shopify.com/s/files/1/1824/8017/files/journa.png,https://cdn.shopify.com/s/files/1/1824/8017/files/journal2.png,https://cdn.shopify.com/s/files/1/1824/8017/files/journal3.png,https://cdn.shopify.com/s/files/1/1824/8017/files/journal4.png"
cymbiotika,7294901747759,MER-GREENEMB-HAT-00,Cymbiotika Live with Intention Hat,cymbiotika-promo-hat,https://cymbiotika.com/products/cymbiotika-promo-hat,Hats,"[""merch"", ""singlepurchaseonly""]",35.0,,USD,1,2026-04-30T22:43:49.635259,"https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_green_front_5C6A3732.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_green_angled_5C6A3735.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_green_back_5C6A3739.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_green_side_5C6A3736.png"
cymbiotika,7924901347375,MER-BLCKCENT-HAT-00,Cymbiotika Patch Performance Snapback - Black/White,cymbiotika-patch-performance-snapback-black-white,https://cymbiotika.com/products/cymbiotika-patch-performance-snapback-black-white,Hats,"[""cym_status_available-all"", ""merch"", ""singlepurchaseonly""]",55.0,,USD,1,2026-04-30T22:43:49.623739,"https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_centerlogo_front_5C6A3703.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_centerlogo_side_5C6A3710.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_centerlogo_back_5C6A3710.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_blk_centerlogo_angled_5C6A3705.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_centerlogo_front_5C6A3689.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_centerlogo_side_5C6A3692.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_centerlogo_back_5C6A3693.png,https://cdn.shopify.com/s/files/1/1824/8017/files/cym_merch_hats_white_centerlogo_angled_5C6A3691.png"
cymbiotika,7291509309487,MER-LRGWHITE-TUM-00,Cymbiotika Tumbler,cymbiotika-tumbler,https://cymbiotika.com/products/cymbiotika-tumbler,Water Bottles,"[""merch"", ""singlepurchaseonly""]",46.0,,USD,1,2026-04-30T22:43:49.639111,https://cdn.shopify.com/s/files/1/1824/8017/files/tumbler.png
cymbiotika,7291509178415,MER-UNIVTOTE-BAG-00,Cymbiotika University Tote Bag,cymbiotika-university-tote-bag,https://cymbiotika.com/products/cymbiotika-university-tote-bag,Apparel & Accessories,"[""merch"", ""singlepurchaseonly""]",40.0,,USD,1,2026-04-30T22:43:49.645320,"https://cdn.shopify.com/s/files/1/1824/8017/files/SproutPDP_bottomAlign_V3.png,https://cdn.shopify.com/s/files/1/1824/8017/files/46_cym_septcampaign_08_23.jpg,https://cdn.shopify.com/s/files/1/1824/8017/files/83_cym_septcampaign_08_23.jpg"
