Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
first_phorm,5003529388118,910253,1 DB Goddess,1db-goddess,https://www.1stphorm.com/products/1db-goddess,Products,"[""Active"", ""Apparel"", ""clone"", ""exclude_rebuy"", ""no-returns"", ""oos-show"", ""product"", ""RepeatBlocklist"", ""RR-Product""]",71.99,,USD,1,2026-05-01T01:26:04.793786,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-goddess_37c38b20-3b4d-484d-946e-d2338bf8b278.png
first_phorm,4757691170902,91028-2,1 Db Goddess Fastpack,1-db-goddess-fastpack-2,https://www.1stphorm.com/products/1-db-goddess-fastpack-2,Products,"[""Active"", ""Apparel"", ""clone"", ""exclude_rebuy"", ""no-returns"", ""oos-show"", ""RepeatBlocklist"", ""RR-Product""]",154.99,203.97,USD,1,2026-05-01T01:26:04.809836,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-goddess-fastpack.png
first_phorm,4350072619094,91025,1-Db Goddess,1-db-goddess,https://www.1stphorm.com/products/1-db-goddess,Products,"[""Active"", ""Apparel"", ""Burner-Digioh"", ""DF-Digioh"", ""Energy-Digioh"", ""Female-Digioh"", ""GF-Digioh"", ""Individual-Digioh"", ""LF-Digioh"", ""LW-Digioh"", ""Natural-Digioh"", ""no-returns"", ""nvgroup_WLS"", ""oos-show"", ""product"", ""RR-Product"", ""short_desc__ Women's Fat Burner"", ""sub-upsell"", ""Vegan-Digioh""]",71.99,,USD,1,2026-05-01T01:26:04.915844,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-goddess_08ef9d5d-3319-46fa-bc1c-75a9883310c0.png
first_phorm,4393526001750,91030,1-Db Goddess & Thyro-Drive,1-db-goddess-thyro-drive,https://www.1stphorm.com/products/1-db-goddess-thyro-drive,Products,"[""Active"", ""Apparel"", ""Bundle-Digioh"", ""Burner-Digioh"", ""DF-Digioh"", ""Female-Digioh"", ""GF-Digioh"", ""LF-Digioh"", ""LW-Digioh"", ""no-returns"", ""oos-show"", ""product"", ""RR-Product"", ""short_desc__ Women's Fat Burning Stack"", ""Stack"", ""Vegan-Digioh"", ""Weight Loss Stack""]",99.99,133.98,USD,1,2026-05-01T01:26:04.843911,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-goddess-and-thyro-drive.png
first_phorm,4756457783382,91030-2,1-Db Goddess And Thyro-Drive,1-db-goddess-and-thyro-drive,https://www.1stphorm.com/products/1-db-goddess-and-thyro-drive,Products,"[""Active"", ""Apparel"", ""clone"", ""exclude_rebuy"", ""No-Anagram"", ""no-returns"", ""oos-show"", ""RepeatBlocklist"", ""RR-Product""]",99.99,133.98,USD,1,2026-05-01T01:26:04.814795,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-goddess-and-thyro-drive_adc40332-96bd-40b8-b646-16e2b16a7624.png
first_phorm,4393683681366,91028,1-Db Goddess Fastpack,1-db-goddess-fastpack,https://www.1stphorm.com/products/1-db-goddess-fastpack,Products,"[""Active"", ""Apparel"", ""bundle"", ""Bundle-Digioh"", ""Burner-Digioh"", ""DF-Digioh"", ""Female-Digioh"", ""GF-Digioh"", ""LF-Digioh"", ""LW-Digioh"", ""Natural-Digioh"", ""no-returns"", ""oos-show"", ""product"", ""RR-Product"", ""short_desc__Women's Fat Burning System"", ""Stack"", ""Vegan-Digioh"", ""Weight Loss Stack""]",154.99,203.97,USD,1,2026-05-01T01:26:04.838331,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-goddess-fastpack_e49a4b5f-67a7-4a01-9ce9-45dd9608c07f.png
first_phorm,4350072717398,91024,1-Db Overdrive,1-db-overdrive,https://www.1stphorm.com/products/1-db-overdrive,Products,"[""Active"", ""Apparel"", ""Burner-Digioh"", ""DF-Digioh"", ""Energy-Digioh"", ""GF-Digioh"", ""Individual-Digioh"", ""LF-Digioh"", ""LW-Digioh"", ""Male-Digioh"", ""Natural-Digioh"", ""no-returns"", ""nvgroup_WLS"", ""oos-show"", ""product"", ""RR-Product"", ""short_desc__ Men's Fat Burner"", ""sub-upsell"", ""Vegan-Digioh""]",71.99,,USD,1,2026-05-01T01:26:04.913110,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-overdrive_a7f0980c-b28c-4010-a530-877939172351.png
first_phorm,4393539862614,91029,1-Db Overdrive & Thyro-Drive,1-db-overdrive-thyro-drive,https://www.1stphorm.com/products/1-db-overdrive-thyro-drive,Products,"[""Active"", ""Apparel"", ""Bundle-Digioh"", ""Burner-Digioh"", ""DF-Digioh"", ""GF-Digioh"", ""LF-Digioh"", ""LW-Digioh"", ""Male-Digioh"", ""Natural-Digioh"", ""no-returns"", ""oos-show"", ""product"", ""RR-Product"", ""short_desc__ Men's Fat Burning Stack"", ""Stack"", ""Vegan-Digioh"", ""Weight Loss Stack""]",99.99,133.98,USD,1,2026-05-01T01:26:04.842022,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-overdrive-thyro-drive.png
first_phorm,4393506111574,91027,1-Db Overdrive Fastpack,1-db-overdrive-fastpack,https://www.1stphorm.com/products/1-db-overdrive-fastpack,Products,"[""Active"", ""Apparel"", ""bundle"", ""Bundle-Digioh"", ""Burner-Digioh"", ""DF-Digioh"", ""GF-Digioh"", ""LF-Digioh"", ""LW-Digioh"", ""Male-Digioh"", ""Natural-Digioh"", ""no-returns"", ""oos-show"", ""product"", ""RR-Product"", ""short_desc__Men's Fat Burning System"", ""Stack"", ""Vegan-Digioh"", ""Weight Loss Stack""]",154.99,203.97,USD,1,2026-05-01T01:26:04.845652,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-db-overdrive-fastpack.png
first_phorm,6876152725590,190284,1-Db Weight Loss Stack for Men,1-db-weight-loss-stack-for-men,https://www.1stphorm.com/products/1-db-weight-loss-stack-for-men,Products,"[""Active"", ""Apparel"", ""bundle"", ""GF-Digioh"", ""LW-Digioh"", ""Male-Digioh"", ""no-returns"", ""oos-show"", ""product"", ""Recharge Bundle"", ""RR-Product"", ""Stack"", ""Stack-Digioh"", ""TPExclude"", ""Weight Loss Stack""]",214.99,294.95,USD,1,2026-05-01T01:26:04.569806,https://cdn.shopify.com/s/files/1/0072/7754/3493/files/1-Db_Weight_Loss_Stack_For_Men.png
