Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
gorilla_mind,8280510922797,51857,Ambassador Welcome Box,ambassador-welcome-box,https://gorillamind.com/products/ambassador-welcome-box,,"[""BFCM2024"", ""black_crow_do_not_cross_sell"", ""black_crow_do_not_replenish"", ""black_crow_do_not_subscribe"", ""exclude_rebuy"", ""exclude_stamped"", ""smart-cart-hidden"", ""smart-cart-shipping-excluded"", ""YBlocklist"", ""YCRF_8280510922797""]",49.99,,USD,1,2026-04-30T22:10:20.681888,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/box-shaker-ambassador.jpg
gorilla_mind,7445334458413,50577,Apelyne™,apelyne,https://gorillamind.com/products/apelyne,Supplement,"[""20-sns"", ""3x-entries"", ""BFCM2024"", ""Capsules"", ""july 17th"", ""multiplier_3"", ""restricted-ae"", ""restricted-al"", ""restricted-at"", ""restricted-au"", ""restricted-be"", ""restricted-bg"", ""restricted-bh"", ""restricted-ca"", ""restricted-ch"", ""restricted-cn"", ""restricted-cy"", ""restricted-cz"", ""restricted-de"", ""restricted-dk"", ""restricted-ee"", ""restricted-eu"", ""restricted-fi"", ""restricted-fr"", ""restricted-gl"", ""restricted-hr"", ""restricted-hu"", ""restricted-ie"", ""restricted-in"", ""restricted-is"", ""restricted-it"", ""restricted-jp"", ""restricted-li"", ""restricted-lt"", ""restricted-lu"", ""restricted-lv"", ""restricted-mc"", ""restricted-mt"", ""restricted-nl"", ""restricted-no"", ""restricted-nz"", ""restricted-pl"", ""restricted-pt"", ""restricted-se"", ""restricted-sg"", ""restricted-si"", ""restricted-sk"", ""restricted-sm"", ""restricted-uk"", ""Stim-Free"", ""YCRF_7445334458413""]",49.99,,USD,1,2026-04-30T22:10:20.733943,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_HERO_Apelyne_1500x1500_1e71218f-b1e4-42d5-9642-13486c81557a.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_SFP_Apelyne_1500x1500_471c8903-cd4f-413e-9691-edd08a5d7d7e.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Apelyne_Thumbnails_KeyCallouts_1500x1500_49c70917-d6c9-41e0-a37c-e6954fd48523.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Apelyne_Thumbnails_IngBreakdown_1500x1500_1f1aa283-6fc1-4fd1-ad1f-6b1bfa2f68b5.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Apelyne_Thumbnails_HowToUse_1500x1500_38a478f4-bfbf-42be-b878-802093f86436.jpg"
gorilla_mind,7445336850477,50578,Beef Liver Capsules,beef-liver,https://gorillamind.com/products/beef-liver,Health Supplement,"[""20-sns"", ""3x-entries"", ""BFCM2024"", ""Capsules"", ""cinco"", ""early"", ""Health Supplement"", ""multiplier_3"", ""Prop65"", ""restricted-ae"", ""restricted-al"", ""restricted-at"", ""restricted-au"", ""restricted-be"", ""restricted-bg"", ""restricted-bh"", ""restricted-ca"", ""restricted-ch"", ""restricted-cn"", ""restricted-cy"", ""restricted-cz"", ""restricted-de"", ""restricted-dk"", ""restricted-ee"", ""restricted-eu"", ""restricted-fi"", ""restricted-fr"", ""restricted-gl"", ""restricted-hr"", ""restricted-hu"", ""restricted-ie"", ""restricted-in"", ""restricted-is"", ""restricted-it"", ""restricted-jp"", ""restricted-li"", ""restricted-lt"", ""restricted-lu"", ""restricted-lv"", ""restricted-mc"", ""restricted-mt"", ""restricted-nl"", ""restricted-no"", ""restricted-nz"", ""restricted-pl"", ""restricted-pt"", ""restricted-se"", ""restricted-sg"", ""restricted-si"", ""restricted-sk"", ""restricted-sm"", ""restricted-uk"", ""tax-supps1"", ""wellness"", ""YCRF_7445336850477""]",39.99,,USD,1,2026-04-30T22:10:20.755385,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/beef-liver-render.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/BeefLiver_Thumbnails_SFPImage.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/BeefLiver_Thumbnails_ProductCallouts.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/BeefLiver_Thumbnails_IngredientBenefits.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/BeefLiver_Thumbnails_HowToUse.jpg"
gorilla_mind,7227838300205,51827,Beta-Alanine,beta-alanine,https://gorillamind.com/products/beta-alanine,Pre-Workout,"[""10-sns"", ""3x-entries"", ""BFCM2024"", ""cinco"", ""multiplier_3"", ""Powder"", ""Pre-workout"", ""Prop65"", ""Stim-Free"", ""tax-supps1"", ""YCRF_7227838300205""]",24.99,,USD,1,2026-04-30T22:10:20.790591,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_HERO_BetaAlanine_1500x1500_8b0c7e5a-2e25-4c58-aebe-5286c41c950c.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_SFP_Beta-Alanine_1500x1500_371ceed4-5eea-4447-ac7c-8635e14bb904.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_THUMBS_BetaAlanine_KeyCallouts_1500x1500_61811141-3bd5-4cc1-b9ca-3f189e016cdb.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_THUMBS_BetaAlanine_HowToUse_1500x1500_0145cd80-1165-4596-a13f-fc2a92d721ff.png"
gorilla_mind,8305463590957,,Blackberry Lemonade Bundle,blackberry-lemonade-bundle,https://gorillamind.com/products/blackberry-lemonade-bundle,Beluga-Bundle,"[""_acumatica--no-import"", ""halloween1"", ""restricted-ae"", ""restricted-al"", ""restricted-at"", ""restricted-au"", ""restricted-be"", ""restricted-bg"", ""restricted-bh"", ""restricted-ca"", ""restricted-ch"", ""restricted-cy"", ""restricted-cz"", ""restricted-de"", ""restricted-dk"", ""restricted-ee"", ""restricted-eu"", ""restricted-fi"", ""restricted-fr"", ""restricted-gl"", ""restricted-hr"", ""restricted-hu"", ""restricted-ie"", ""restricted-in"", ""restricted-is"", ""restricted-it"", ""restricted-jp"", ""restricted-li"", ""restricted-lt"", ""restricted-lu"", ""restricted-lv"", ""restricted-mc"", ""restricted-mt"", ""restricted-nl"", ""restricted-no"", ""restricted-nz"", ""restricted-pl"", ""restricted-pt"", ""restricted-se"", ""restricted-sg"", ""restricted-si"", ""restricted-sk"", ""restricted-sm"", ""YCRF_8305463590957""]",139.5,154.97,USD,1,2026-04-30T22:10:20.678812,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_HERO_Mode_BlackberryLemonade_1500x1500_557ec961-621c-4722-a8d0-521f7f84cd98.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_SFP_EnergyDrink_BlackberryLemonade_1500x1500_f6c07523-6397-48d5-9b2b-4e496dca6dbb.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_SFP_Mode_BlackberryLemonade_1500x1500_dcb22f2e-d762-4918-ad2b-c8f8c3fee3ee.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_SFP_Nitric_BlackberryLemonade_1500x1500_85682b1a-c5ef-4802-a3a7-3fec7472b3ae.jpg"
gorilla_mind,7409310072877,50791,Collagen Peptides,gorilla-mind-collagen,https://gorillamind.com/products/gorilla-mind-collagen,Supplement,"[""20-sns"", ""BFCM2024"", ""cinco"", ""Daily Supplement"", ""Health Supplement"", ""hormone support"", ""Powder"", ""Prop65"", ""Protein"", ""restricted-nl"", ""restricted-uk"", ""tax-supps1"", ""wellness"", ""YCRF_7409310072877""]",39.99,,USD,1,2026-04-30T22:10:20.785671,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Collagen-Blue-Raspberry_818e9e75-4498-43e1-88fb-c90a2cec979a.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Collagen-Mixed_Berry.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Collagen_Thumbnail_Product-Callouts-_2.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Collagen_Thumbnail_Ingredient-Callout.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Collagen_Thumbnail_How-To-Use.jpg"
gorilla_mind,5237379530797,50901,Cortisol Blocker (with Emodin),cortisol-blocker,https://gorillamind.com/products/cortisol-blocker,Health Supplement,"[""3x-entries"", ""BFCM2024"", ""Capsules"", ""Cortisol Control Supplement"", ""Daily Supplement"", ""Fat Burner"", ""Health Supplement"", ""hormone support"", ""multiplier_3"", ""Prop65"", ""restricted-au"", ""restricted-ie"", ""restricted-jp"", ""Sleep Formula"", ""Stress Support Supplement"", ""tax-supps"", ""YCRF_5237379530797""]",39.99,,USD,1,2026-04-30T22:10:20.751683,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Gorilla-Mind-Calm_c9252445-eacc-48fc-bc6a-cf723eed5bb8.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_SFP_CortisolBlocker_1500x1500-_1.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_THUMBS_CortisolBlocker_KeyCallouts_1500x1500_ebcb21b5-c79e-4f32-a2aa-7bacab238139.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_THUMBS_CortisolBlocker_IngBreakdown_1500x1500_5d48ffe0-2485-430c-b786-cd23b33632ff.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_THUMBS_CortisolBlocker_HowToUse_1500x1500_cd4c2b86-b04e-4671-8ac6-381aaa6049c0.jpg"
gorilla_mind,8257578926125,51786,Creatine HCl,creatine-hcl,https://gorillamind.com/products/creatine-hcl,Supplement,"[""BFCM2024"", ""Health Supplement"", ""Powder"", ""Prop65"", ""YCRF_8257578926125""]",49.99,,USD,1,2026-04-30T22:10:20.683056,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/CreatineHCl.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_Creatine_HCI_Thumbnail_Working_090325_SFP_Image.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_Creatine_HCI_Thumbnail_Working_090325_Product_Callouts.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_Creatine_HCI_Thumbnail_Working_090325_Ingredient_Benefits.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_Creatine_HCI_Thumbnail_Working_090325_How_To_Use.jpg"
gorilla_mind,7227845083181,51323,Creatine Monohydrate,creatine,https://gorillamind.com/products/creatine,Pre-Workout,"[""20-sns"", ""3x-entries"", ""BFCM2024"", ""BoxingDay"", ""cinco"", ""Health Supplement"", ""hormone support"", ""Intra-Workout"", ""multiplier_3"", ""Powder"", ""Pre-workout"", ""Prop65"", ""restricted-au"", ""Stim-Free"", ""tax-supps1"", ""wellness"", ""YCRF_7227845083181""]",39.99,,USD,1,2026-04-30T22:10:20.786682,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GorillaMode_CreatinePowder100SCOOPS032425.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Creatine100Serving_Thumbnails_SFPImage.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Creatine_Thumbnail_working_040325_Product_Callouts.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Creatine_Thumbnail_working_040325_Ingredients.jpg,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/Creatine_Thumbnail_working_040325_How_To_Use.jpg"
gorilla_mind,5226385113133,51077,Cyclean™ AM,cyclean-am,https://gorillamind.com/products/cyclean-am,Supplement,"[""10-sns"", ""3x-entries"", ""BFCM2024"", ""Capsules"", ""cinco"", ""Fat Burner"", ""multiplier_3"", ""Prop65"", ""restricted-ae"", ""restricted-al"", ""restricted-at"", ""restricted-au"", ""restricted-be"", ""restricted-bg"", ""restricted-bh"", ""restricted-ca"", ""restricted-ch"", ""restricted-cn"", ""restricted-cy"", ""restricted-cz"", ""restricted-de"", ""restricted-dk"", ""restricted-ee"", ""restricted-eu"", ""restricted-fi"", ""restricted-fr"", ""restricted-gl"", ""restricted-hr"", ""restricted-hu"", ""restricted-ie"", ""restricted-in"", ""restricted-is"", ""restricted-it"", ""restricted-jp"", ""restricted-li"", ""restricted-lt"", ""restricted-lu"", ""restricted-lv"", ""restricted-mc"", ""restricted-mt"", ""restricted-nl"", ""restricted-no"", ""restricted-nz"", ""restricted-pl"", ""restricted-pt"", ""restricted-se"", ""restricted-sg"", ""restricted-si"", ""restricted-sk"", ""restricted-sm"", ""restricted-uk"", ""Stim"", ""summer-shred"", ""tax-fat-burner"", ""YCRF_5226385113133""]",44.99,,USD,0,2026-04-30T22:10:20.748321,"https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_HERO_CycleanAM_1500x1500_d70e7d38-bb98-4110-bc85-87d77ccd5647.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_SFP_CycleanAM_1500x1500_d5906883-e6df-41a7-a2ea-de7fa1e9b5f1.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_THUMBS_CycleanAM_KeyCallouts_1500x1500_af698748-85ce-409a-ae95-d9004723d358.png,https://cdn.shopify.com/s/files/1/0369/2580/0493/files/GM_THUMBS_CycleanAM_HowToUse_1500x1500_2c6ad8fd-d47c-4aa3-8b20-d4aeb035014b.png"
