Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
hyperice,9216483295446,63090 001-00,15V Normatec Charger,normatec-charger,https://hyperice.com/products/normatec-charger,Recovery Device,"[""fsa-hsa-eligible"", ""product:accessories"", ""product:normatec"", ""return:class1"", ""return:photo-not-required""]",30.0,,USD,1,2026-04-30T23:06:50.348454,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/normatec-charger-15v-pdp-1.png
hyperice,9216485687510,30060 001-00,18V Wall Charger,wall-charger,https://hyperice.com/products/wall-charger,Recovery Device,"[""fsa-hsa-eligible"", ""product:accessories"", ""product:hypervolt"", ""return:class1"", ""return:photo-not-required""]",25.0,,USD,1,2026-04-30T23:06:50.264475,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/wall-charger-18v-pdp-1.png
hyperice,9232945512662,99500 001-00,Gift Cards,gift-card,https://hyperice.com/products/gift-card,,"[""return:final-sale"", ""return:photo-not-required""]",25.0,,USD,1,2026-04-30T23:06:50.244753,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/HypericeGiftCard1.png
hyperice,9234842550486,40022 001-00,Heated Head Attachment 3,heated-head-attachment-3,https://hyperice.com/products/heated-head-attachment-3,Recovery Device,"[""body:arms"", ""body:back"", ""body:feet"", ""body:legs"", ""body:shoulders"", ""fsa-hsa-eligible"", ""product:accessories"", ""product:hypervolt"", ""return:class1"", ""return:photo-required"", ""therapy:heat"", ""therapy:percussion""]",59.0,,USD,1,2026-04-30T23:06:50.218380,"https://cdn.shopify.com/s/files/1/0786/1852/5910/files/heated-head-3-pdp-1.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/heated-head-3-pdp-4.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/heated-head-3-pdp-2.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/heated-head-3-pdp-3.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/heated-head-3-pdp-5.png"
hyperice,9216483229910,65000 001-08,Hyperboot by Nike × Hyperice,hyperboot-nike-hyperice,https://hyperice.com/products/hyperboot-nike-hyperice,Recovery Device,"[""fsa-hsa-eligible"", ""product:nike-\u00d7-hyperice"", ""return:class1"", ""return:photo-required"", ""therapy:nike-\u00d7-hyperice""]",799.0,,USD,1,2026-04-30T23:06:50.352292,"https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperboot-pdp-1.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperboot-pdp-5.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperboot-pdp-3.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperboot-pdp-4.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/Hyperboot-pdp-6.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperboot-pdp-2.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperboot-7-whats-included-pdp.png"
hyperice,9235920945366,28200 006-00,Hyperice Contrast 2 Knee,hyperice-contrast-2-knee,https://hyperice.com/products/hyperice-contrast-2-knee,Recovery Device,"[""fsa-hsa-eligible"", ""product:hyperice-x"", ""return:class1"", ""return:photo-required"", ""therapy:contrast""]",449.0,,USD,0,2026-04-30T23:06:50.234704,"https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-1.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-3.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-4.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-5.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-6.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-2.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-whats-included-7.png"
hyperice,9235923992790,29200 006-00,Hyperice Contrast 2 Shoulder,hyperice-contrast-2-shoulder,https://hyperice.com/products/hyperice-contrast-2-shoulder,Recovery Device,"[""fsa-hsa-eligible"", ""product:hyperice-x"", ""return:class1"", ""return:photo-required"", ""therapy:contrast""]",449.0,,USD,0,2026-04-30T23:06:50.232788,"https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-pdp-1.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-3.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-6.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-4.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-5.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-2.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-pdp-whats-included-7.png"
hyperice,9196274516182,25200 001-00,Hyperice X 2 Knee,hyperice-x-2-knee,https://hyperice.com/products/hyperice-x-2-knee,Recovery Device,"[""fsa-hsa-eligible"", ""product:hyperice-x"", ""return:class1"", ""return:photo-required"", ""therapy:contrast""]",449.0,,USD,1,2026-04-30T23:06:50.360123,"https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-1.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-3.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-4.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-5.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-6.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-2.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-knee-pdp-whats-included-7.png"
hyperice,9216483819734,27200 001-00,Hyperice X 2 Shoulder,hyperice-x-2-shoulder,https://hyperice.com/products/hyperice-x-2-shoulder,Recovery Device,"[""fsa-hsa-eligible"", ""product:hyperice-x"", ""return:class1"", ""return:photo-required"", ""therapy:contrast""]",449.0,,USD,1,2026-04-30T23:06:50.300845,"https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-pdp-1.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-3.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-6.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-4.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-5.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-2.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hyperice-x-2-shoulder-pdp-whats-included-7.png"
hyperice,9216483688662,34500 001-00,Hypersphere Go,hypersphere-go,https://hyperice.com/products/hypersphere-go,Recovery Device,"[""body:back"", ""body:feet"", ""fsa-hsa-eligible"", ""Hypersphere mini"", ""product:hypersphere"", ""return:class1"", ""return:photo-required"", ""therapy:vibration""]",109.0,,USD,1,2026-04-30T23:06:50.333635,"https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hypersphere-go-pdp-1.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hypersphere-go-pdp-3.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hypersphere-go-pdp-4.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hypersphere-go-pdp-5.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hypersphere-go-pdp-6.jpg,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hypersphere-go-pdp-2.png,https://cdn.shopify.com/s/files/1/0786/1852/5910/files/hypersphere-go-pdp-whats-included-7.png"
