Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
kaged,7710684610625,KMA129BLSM,Ascent Hoodie,ascent-hoodie,https://kaged.com/products/ascent-hoodie,,[],49.0,,USD,1,2026-05-01T01:25:58.962287,"https://cdn.shopify.com/s/files/1/1110/3248/files/ASCENT-HOODIE-FRONT.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/ASCENT-HOODIE-BACK.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-5_1.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-8_1.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-12.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-13.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-14_1.jpg"
kaged,7761629937729,KMA130BLSM,Ascent Performance Shorts,ascent-performance-shorts,https://kaged.com/products/ascent-performance-shorts,,[],34.0,,USD,1,2026-05-01T01:25:58.954721,"https://cdn.shopify.com/s/files/1/1110/3248/files/7.png,https://cdn.shopify.com/s/files/1/1110/3248/files/6.png,https://cdn.shopify.com/s/files/1/1110/3248/files/8.png,https://cdn.shopify.com/s/files/1/1110/3248/files/9.png"
kaged,7886897414209,KMA121OS,Ascent Performance Socks (2 Pairs),ascent-performance-socks,https://kaged.com/products/ascent-performance-socks,,[],17.0,,USD,1,2026-05-01T01:25:58.931210,"https://cdn.shopify.com/s/files/1/1110/3248/files/KAGEDNSESOCK.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/Socks_0001_Kaged-Apparel-Lookbook-43.png,https://cdn.shopify.com/s/files/1/1110/3248/files/Socks_0002_Layer-0.png,https://cdn.shopify.com/s/files/1/1110/3248/files/Socks_0000_Kaged-Apparel-Lookbook-41.png"
kaged,7761627807809,KMA131BLSM,Ascent Performance Tee,ascent-performance-tee,https://kaged.com/products/ascent-performance-tee,,[],29.0,,USD,1,2026-05-01T01:25:58.957232,"https://cdn.shopify.com/s/files/1/1110/3248/files/1_5d0ed6d0-8647-4edc-973d-80f36fcb46eb.png,https://cdn.shopify.com/s/files/1/1110/3248/files/2_a9084d4d-7104-4f26-a5e9-a41c695515a4.png,https://cdn.shopify.com/s/files/1/1110/3248/files/5_48188a6c-9abf-4882-a3f7-6cceeac96c03.png,https://cdn.shopify.com/s/files/1/1110/3248/files/4_240c3224-cd14-4761-beb1-b71cb6d29f85.png,https://cdn.shopify.com/s/files/1/1110/3248/files/3_37afc788-cb0d-48a4-ba9e-3631889de597.png"
kaged,7710684020801,KMA132BLSM,Ascent Straight Leg Sweats,ascent-sweatpants,https://kaged.com/products/ascent-sweatpants,,[],49.0,,USD,1,2026-05-01T01:25:58.964767,"https://cdn.shopify.com/s/files/1/1110/3248/files/KAGEDBF-JOGGERS-FRONT.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KAGED-BF-JOGGERS-BACK.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-10_1.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-16_1.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-17_1.jpg"
kaged,7710678057025,KMA128BLSM,Ascent Tee,ascent-tee,https://kaged.com/products/ascent-tee,,[],29.0,,USD,1,2026-05-01T01:25:58.959505,"https://cdn.shopify.com/s/files/1/1110/3248/files/KAGED-BF-TEE-FRONT-01.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KAGED-BF-TEE-BACK01.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-27.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KagedApparelLookbook-24.jpg"
kaged,4936593539,KM-BCAP-400,BCAA 2:1:1,bcaa-2-1-1,https://kaged.com/products/bcaa-2-1-1,Supplement,"[""$25 - $60"", ""amino"", ""amino acid"", ""amino acids"", ""BCAA"", ""BCAA Supplements"", ""bcaas"", ""bcap-tc"", ""branched chain amino"", ""build muscle"", ""fermented"", ""intra"", ""intra-workout"", ""Mix Your Own"", ""non-protein"", ""non-surplus"", ""Powder"", ""purpose:  Plant-Based BCAA Powder"", ""Sports Nutrition"", ""unflavored"", ""vegan"", ""YCRF_powder""]",29.0,,USD,1,2026-05-01T01:25:59.085305,"https://cdn.shopify.com/s/files/1/1110/3248/files/BCAAAFRONT_ac1a0751-087f-4bab-8697-c92f6ea75a7b.png,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAA_BCAABenefits2.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAA_BCAAIngredients1.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAA_BCAAScience3.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAA_BCAAUsvThem5.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAA_BCAAFlavor4.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAA_BCAAHowtoUse6.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAA_BCAASFP.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAAALEFT.png,https://cdn.shopify.com/s/files/1/1110/3248/files/BCAAARIGHT.png"
kaged,4937480451,KM-BLBT-028,Blender Bottle - Classic,blender-bottle-classic,https://kaged.com/products/blender-bottle-classic,Gear,"[""accessories"", ""blender"", ""blender bottle"", ""gear"", ""Merchandise"", ""nofacts"", ""nolinks"", ""non-surplus"", ""purpose: The Classic Supplement Shaker"", ""shaker"", ""Shaker Bottles"", ""summer24"", ""YCRF_bottle""]",12.0,,USD,0,2026-05-01T01:25:59.103822,https://cdn.shopify.com/s/files/1/1110/3248/files/1_4051ff5d-8562-44f2-acf1-4caedeab30c5.png
kaged,7581742339,KM-KASE-002VN,Casein,casein,https://kaged.com/products/casein,Supplement,"[""$25 - $60"", ""BEST SELLER"", ""casein"", ""chocolate"", ""kase-tc"", ""kasein"", ""nolinks"", ""non-surplus"", ""Peanut Butter"", ""Powder"", ""protein"", ""purpose: Slow-Digesting Time-Release Protein"", ""recovery"", ""Sports Nutrition"", ""vanilla"", ""Weight Gain"", ""YCRF_powder""]",49.0,,USD,1,2026-05-01T01:25:59.000426,"https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinVanillaFRONT.png,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinBenefits2.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinIngredients1.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinNewPackage.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinScience3.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinFlavor4.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinUsvThem5.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinHowtoUse6.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinSFPV.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinChocolatepeanutbutterFRONT.png,https://cdn.shopify.com/s/files/1/1110/3248/files/CaseinProtein_CaseinSFPCPB.jpg"
kaged,7471650668609,KMA115SM,Circle Tee,circle-tee,https://kaged.com/products/circle-tee,,[],34.0,,USD,1,2026-05-01T01:25:58.987127,"https://cdn.shopify.com/s/files/1/1110/3248/files/Untitled_1000x3000px_1000x1000px_fe392342-332f-462c-8b61-7b0a1cd10f72.png,https://cdn.shopify.com/s/files/1/1110/3248/files/BLKCIRCLFRONT.png,https://cdn.shopify.com/s/files/1/1110/3248/files/BLKCIRCLEBACK.png,https://cdn.shopify.com/s/files/1/1110/3248/files/WHITEKCIRCLEFRONT.png,https://cdn.shopify.com/s/files/1/1110/3248/files/WHITEKCIRCLEBACK.png,https://cdn.shopify.com/s/files/1/1110/3248/files/KAGED_ColorCorrected-119.jpg,https://cdn.shopify.com/s/files/1/1110/3248/files/KAGED_ColorCorrected-130.jpg"
