Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
kos,9254332432572,BN-CH-SIN,4 pcs Free Samples - Chocolate Protein,4-pcs-free-samples-chocolate-protein,https://kos.com/products/4-pcs-free-samples-chocolate-protein,,"""hidden, HIDDEN_PRODUCT""",13.0,,USD,1,2026-04-30T22:57:11.006079,
kos,9254332727484,BN-PB-SIN,4 pcs Free Samples - Peanut Butter Protein,4-pcs-free-samples-peanut-butter-protein,https://kos.com/products/4-pcs-free-samples-peanut-butter-protein,,"""hidden, HIDDEN_PRODUCT""",13.0,,USD,1,2026-04-30T22:57:11.008158,
kos,9254332924092,BN-SB-SIN,4 pcs Free Samples - Stawberry Protein,4-pcs-free-samples-stawberry-protein,https://kos.com/products/4-pcs-free-samples-stawberry-protein,,"""hidden, HIDDEN_PRODUCT""",13.0,,USD,1,2026-04-30T22:57:11.009554,
kos,9254331613372,BN-VN-SIN,4 pcs Free Samples - Vanilla Protein,4-pcs-free-samples-vanilla-protein,https://kos.com/products/4-pcs-free-samples-vanilla-protein,,"""hidden, HIDDEN_PRODUCT""",13.0,,USD,1,2026-04-30T22:57:11.004255,
kos,9096017969340,BN-VPP-SIN,4 pcs Protein Samples - 1 pc Of Each Flavor,4-pcs-free-samples-1-unit-of-each-flavor,https://kos.com/products/4-pcs-free-samples-1-unit-of-each-flavor,,"""hidden, HIDDEN_PRODUCT, SEARCHANISE_HIDDEN_PRICE""",3.99,,USD,1,2026-04-30T22:57:10.998517,https://cdn.shopify.com/s/files/1/2236/0863/files/2222.jpg
kos,4599112302658,MX-GM01,A Whole Latte Gold,golden-mylk-blend,https://kos.com/products/golden-mylk-blend,KOS Blends,"""blend, blendsdeal, brain, BUY2GET1FREE, BUY2GET1FREE-RETAG-LATER, calm, coffee, digestion, digestive, golden, golden milk, hidepricestep, hot, immunity, joints, latte, mylk, sleep, stress, tumeric, turmeric""",44.99,,USD,1,2026-04-30T22:57:10.922989,"https://cdn.shopify.com/s/files/1/2236/0863/files/1_b4ffa1c4-b339-4aac-b475-ef64799a1783.png,https://cdn.shopify.com/s/files/1/2236/0863/files/GOLDEN_MYLK_w_Shadow-1.png,https://cdn.shopify.com/s/files/1/2236/0863/files/GOLDENMYLKSFP.jpg,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-GOLDEN-MYLK30-WEBSITE-IMAGE3.png,https://cdn.shopify.com/s/files/1/2236/0863/files/KOS-GOLDEN-MYLK28-WEBSITE-IMAGE5.png,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-GOLDEN-MYLK30-WEBSITE-IMAGE6.png,https://cdn.shopify.com/s/files/1/2236/0863/files/KOS-GOLDEN-MYLK28-WEBSITE-IMAGE4.png,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-GOLDEN-MYLK30-WEBSITE-IMAGE7.png"
kos,9121278558396,RETAIL-TF01,B2B Tri-Fold Brochures,b2b-tri-fold-brochures,https://kos.com/products/b2b-tri-fold-brochures,,"""hidden, HIDDEN_PRODUCT""",0.0,,USD,1,2026-04-30T22:57:10.999657,https://cdn.shopify.com/s/files/1/2236/0863/files/1.jpg
kos,4635971682370,CAP-BTR01,Beetroot Capsules,kos-beetroot-capsule,https://kos.com/products/kos-beetroot-capsule,KOS Pantry,"""BUY2GET1FREE, BUY2GET1FREE-RETAG-LATER, capsule, energy, heart, hidepricestep, immunity, joints, Low stock""",29.99,,USD,1,2026-04-30T22:57:10.925582,"https://cdn.shopify.com/s/files/1/2236/0863/files/34.png,https://cdn.shopify.com/s/files/1/2236/0863/files/1DTC-BEETCapsulesBack.png,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-BEETROOT-WEBSITE-IMAGE6_a9dfc78a-5a8b-4b12-8efe-246b9dd92f51.png"
kos,4713445130306,MX-BSE01,Bolt From The Blue,kos-bolt-from-the-blue,https://kos.com/products/kos-bolt-from-the-blue,KOS Blends,"""blendsdeal, boost, brain, caffeine, energy, hidepricestep, pre workout, preworkout, stress, workout""",44.99,,USD,1,2026-04-30T22:57:10.930350,"https://cdn.shopify.com/s/files/1/2236/0863/files/33.png,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-BOLT-FROM-THE-BLUE28-WEBSITE-IMAGE1.png,https://cdn.shopify.com/s/files/1/2236/0863/files/MX-BSE01.png,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-BOLT-FROM-THE-BLUE28-WEBSITE-IMAGE3.png,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-BOLT-FROM-THE-BLUE28-WEBSITE-IMAGE4.png,https://cdn.shopify.com/s/files/1/2236/0863/files/KOS-BOLT-FROM-THE-BLUE28-WEBSITE-IMAGE5.png,https://cdn.shopify.com/s/files/1/2236/0863/products/KOS-BOLT-FROM-THE-BLUE28-WEBSITE-IMAGE7.png"
kos,8766374903996,HYPR-BRY07,Hydration Protein - Clear Protein Hydration Mix,hydration-protein-clear-protein-hydration-mix,https://kos.com/products/hydration-protein-clear-protein-hydration-mix,,"""""",24.99,,USD,1,2026-04-30T22:57:10.958885,"https://cdn.shopify.com/s/files/1/2236/0863/files/30.png,https://cdn.shopify.com/s/files/1/2236/0863/files/32.png,https://cdn.shopify.com/s/files/1/2236/0863/files/31.png"
kos,8801280327868,HYPR-BRY01,Hydration Protein - Clear Protein Hydration Mix - Single Serving,hydration-protein-clear-protein-hydration-mix-free-samples,https://kos.com/products/hydration-protein-clear-protein-hydration-mix-free-samples,,"""hidepricestep""",3.49,,USD,1,2026-04-30T22:57:10.960722,"https://cdn.shopify.com/s/files/1/2236/0863/files/AMZ-HP-Berry.png,https://cdn.shopify.com/s/files/1/2236/0863/files/AMZ-HP-Orange_b3601a2d-039e-4e4f-9c7c-0f478a740c73.png,https://cdn.shopify.com/s/files/1/2236/0863/files/AMZ-HP-Tropical_9071ac9a-a3bb-414b-ae84-a8981fba3171.png"
kos,8084782055612,RETAIL-HMF,KOS Handheld Mixer,kos-handheld-mixer-frother,https://kos.com/products/kos-handheld-mixer-frother,KOS Goods,"[""hidepricestep""]",19.99,,USD,1,2026-04-30T22:51:10.602539,"https://cdn.shopify.com/s/files/1/2236/0863/files/29.png,https://cdn.shopify.com/s/files/1/2236/0863/files/1Frother-Listing-1_c1253ba7-0574-4678-9e2b-63d5ad5c60cc.png,https://cdn.shopify.com/s/files/1/2236/0863/files/1Frother-Listing-2_1.png,https://cdn.shopify.com/s/files/1/2236/0863/files/1Frother-Listing-3_1.png"
kos,8084784873660,RETAIL-HMF,KOS Handheld Mixer Frother - Free,kos-handheld-mixer-frother-free,https://kos.com/products/kos-handheld-mixer-frother-free,KOS Goods,"[""HIDDEN"", ""HIDDEN_PRODUCT"", ""SEARCHANISE_HIDDEN_PRICE"", ""secret product"", ""unavailableononlinestore""]",0.0,19.99,USD,1,2026-04-30T22:51:10.587570,"https://cdn.shopify.com/s/files/1/2236/0863/files/frother-cart.png,https://cdn.shopify.com/s/files/1/2236/0863/files/Frother-crop_a91eb02e-1128-4120-972d-b5c59f571e52.png,https://cdn.shopify.com/s/files/1/2236/0863/files/Frother-crop_2f7d7623-1f74-4bbc-92e7-022dbbf1d0fe.png"
kos,9079467409596,VPP-BM10,"KOS Organic Plant Protein, Blueberry Muffin, 10 servings",kos-organic-plant-protein-blueberry-muffin-10-servings,https://kos.com/products/kos-organic-plant-protein-blueberry-muffin-10-servings,Protein Supplements,"""bag, carthook_checkout, carthook_upsell_protein, certified, certified organic, digestion, digestive, enzymes, erythritolbadge, fruit, fruits, halfoffgreens, heart, ice cream, immunity, keto, Low stock, MCF, meal, meal replacement, natural, natural flavor, natural flavors, organic, post workout, powder, protein, protein powder, pumpkin, pumpkin seed, pumpkin seed powder, recycle, stevia, sustainable, vegetable, vegetables, veggies, weight, YGroup_plantprotein""",24.99,0.0,USD,1,2026-04-30T22:57:10.997278,"https://cdn.shopify.com/s/files/1/2236/0863/files/27.png,https://cdn.shopify.com/s/files/1/2236/0863/files/VPP-BM10-1.png,https://cdn.shopify.com/s/files/1/2236/0863/files/Frame_9.png,https://cdn.shopify.com/s/files/1/2236/0863/files/Frame_10.png,https://cdn.shopify.com/s/files/1/2236/0863/files/c5fce630c9e44fb0a9a4652c0ef7cd44_tplv-fhlh96nyum-origin-jpeg.jpg,https://cdn.shopify.com/s/files/1/2236/0863/files/a9985d02adb1429bbb7e1d4285d5bd9b_tplv-fhlh96nyum-origin-jpeg.jpg,https://cdn.shopify.com/s/files/1/2236/0863/files/VPP-BM10.png"
