Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
muscletech,6617882132576,SKU0001192,100% Mass Gainer,100-mass-gainer,https://www.muscletech.com/products/100-mass-gainer,,[],34.99,,USD,1,2026-04-30T22:10:40.414468,"https://cdn.shopify.com/s/files/1/1214/7132/files/mt-100-mass-gainer-chocolate-fudge-brownie.png,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-100-mass-gainer-vanilla-milkshake.png,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-100-mass-gainer-back.png"
muscletech,nutrition_warehouse_au_8292688593123,151806,100% Platinum EEA+ by MuscleTech,100-platinum-eea-by-muscletech,https://www.nutritionwarehouse.com.au/products/100-platinum-eea-by-muscletech,EAAs,"[""Amino Acids"", ""Electrolytes"", ""Hydration"", ""Hydration Formulas""]",74.95,,USD,1,2026-04-30T22:14:13.522989,"https://cdn.shopify.com/s/files/1/0613/6342/1411/files/0001_muscletech-platinum-eaa-grape.jpg,https://cdn.shopify.com/s/files/1/0613/6342/1411/files/0000_muscletech-platinum-eaa-fruit-punch.jpg"
muscletech,nutrition_warehouse_au_8123269349603,150203,Alpha Test by MuscleTech,alpha-test-by-muscletech,https://www.nutritionwarehouse.com.au/products/alpha-test-by-muscletech,Test Boosters,"[""All Products"", ""Hormonal Support"", ""Mens"", ""Test Boosters"", ""Testosterone Boosters""]",49.95,,USD,1,2026-04-30T22:14:13.540781,https://cdn.shopify.com/s/files/1/0613/6342/1411/files/muscletech-alpha-test-60c.jpg
muscletech,6617882099808,SKU0002815,AlphaTest,alphatest,https://www.muscletech.com/products/alphatest,,[],20.26,34.99,USD,1,2026-04-30T22:10:40.356547,"https://cdn.shopify.com/s/files/1/1214/7132/files/alphatest-120-front.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/test-boosting-formula.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/alphatest-120-back.jpg"
muscletech,7071328796768,SKU0002665,AlphaTest Extreme,alphatest-extreme,https://www.muscletech.com/products/alphatest-extreme,,[],69.99,,USD,1,2026-04-30T22:10:40.350140,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alphatest-extreme-box.png
muscletech,6667872895072,SKU0002417,AlphaTest Thermo,alpha-test-thermo,https://www.muscletech.com/products/alpha-test-thermo,,[],29.99,,USD,1,2026-04-30T22:10:40.355550,"https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alphatest-thermo-90.png,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alpha-test-thermo-lifestyle-gym_61619e46-db77-4d9a-a04a-e3ebd1810be4.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alphatest-thermo-unique-ingredient-combo.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alphatest-thermo-powerful-thermogenic.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-athlete-alphatest-thermo-lifestyle-locker-room.png"
muscletech,6851232071776,SKU0002503,AlphaTest Thermo XTR,alphatest-thermo-xtr,https://www.muscletech.com/products/alphatest-thermo-xtr,,[],69.99,,USD,1,2026-04-30T22:10:40.354264,"https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alphatest-thermo-xtr-box.png,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alphatest-thermo-xtr-front.png,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-alphatest-thermo-xtr-left.png"
muscletech,6617880821856,SKU0001769,Amino Build,amino-build,https://www.muscletech.com/products/amino-build,,[],29.99,,USD,1,2026-04-30T22:10:40.358580,"https://cdn.shopify.com/s/files/1/1214/7132/files/mt-amino-build-tropical-twist.png,https://cdn.shopify.com/s/files/1/1214/7132/files/mt-amino-build-strawberry-watermelon.png,https://cdn.shopify.com/s/files/1/1214/7132/files/muscletech-amino-build-tropical_05efb523-59af-42b2-9eb7-14690a0c0967.png,https://cdn.shopify.com/s/files/1/1214/7132/files/muscletech-amino-build-strawberry-watermelon_7e0d3fcb-7f72-4b32-b254-6a277988af85.png"
muscletech,6639406481504,bd1456da-feb9-40d4-92aa-519138b84db3,Boogieman Bundle,boogieman-bundle,https://www.muscletech.com/products/boogieman-bundle,Protein,"[""bundle"", ""Pre/Post Workout_Creatine"", ""Series_Performance Series"", ""spo-default"", ""spo-disabled"", ""spo-notify-me-disabled""]",90.92,,USD,1,2026-04-30T22:10:40.405215,"https://cdn.shopify.com/s/files/1/1214/7132/files/bundle-boogieman.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/temp_iBiJCqA.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/temp_MauGrM0.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/temp_QmyPxkS.jpg"
muscletech,7404154880096,6b3ca19a-b5d9-47c8-82e6-f9d30c787d2c,Built Different Bundle,built-different-bundle,https://www.muscletech.com/products/built-different-bundle,,"[""bundle""]",106.17,117.97,USD,1,2026-04-30T22:10:40.341886,"https://cdn.shopify.com/s/files/1/1214/7132/files/temp_TimZNQi_b55d8e1e-1125-4e9d-8f90-ed4fe390a39f.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/gempages_489194580386776203-42faead8-e8ab-4b8a-9a87-8b749a13a1f8.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/gempages_489194580386776203-3ba80fe0-b7a6-453b-a927-14f565f88fb2.jpg,https://cdn.shopify.com/s/files/1/1214/7132/files/gempages_489194580386776203-265df424-3ecd-4fc6-aa57-bfe5ec6f9991.jpg"
