Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
myprotein,supplement_hunt_9005719257265,MP-OC7320-TR,MyProtein Clear Whey Isolate 1.1lbs,myprotein-clear-whey-isolate-1-1lbs,https://www.supplementhunt.com/products/myprotein-clear-whey-isolate-1-1lbs,Protein,"[""Protein"", ""Protein & Gainer"", ""Whey""]",19.99,44.95,USD,0,2026-04-30T22:14:39.561684,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/myprotein_clear_whey_dragonfruit_1lbs.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/myprotein_clear_whey_dragonfruit_1lbs_supps.jpg"
myprotein,supplement_hunt_9003445616817,MP-CW7319-SSC,MyProtein Clear Whey Isolate Singles 30 Pack,myprotein-clear-whey-isolate-singles-30-pack,https://www.supplementhunt.com/products/myprotein-clear-whey-isolate-singles-30-pack,Protein,"[""Protein"", ""Protein & Gainer""]",14.99,59.99,USD,0,2026-04-30T22:14:39.565981,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/myprotein_clear_whey_singles_fan.png,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/myprotein_clear_whey_singles.png,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/myprotein_clear_whey_singles_back.jpg"
myprotein,nz_muscle_10199651680437,5059883365992,MyProtein Creatine Monohydrate 240 Tablets,myprotein-creatine-monohydrate-240-tablets,https://www.nzmuscle.co.nz/products/myprotein-creatine-monohydrate-240-tablets,,"[""creatine capsules""]",69.99,,USD,0,2026-04-30T22:15:00.275097,"https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myprotein-creatine-tablets_1_05617680-e400-47a2-9243-351d79720856.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myprotein-creatine-tablets_5961904e-19f8-4fca-a8f7-022c90312294.jpg"
myprotein,nz_muscle_10199638573237,MyPCPW010-V1,MyProtein Crispy Protein Wafer,myprotein-crispy-protein-wafer,https://www.nzmuscle.co.nz/products/myprotein-crispy-protein-wafer,,"[""protein bars / snacks""]",1.97,2.47,USD,1,2026-04-30T22:15:00.290722,"https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myp-wafer-choc_1_73b11a3a-1cd8-4df0-9f8c-dfd4a4cfd531.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myp-wafer-vanilla_1_1_deb8996e-538b-4c71-8caf-6ab9f2f881da.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myprotein-wafer-choc_f53697da-55d5-4f7a-a90c-34613bddb9e5.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myprotein-wafer-cnc_2cc8941a-080b-4fd3-803f-98ee2b1d7617.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myprotein-wafer-cnc_2_9679a87b-864c-45bc-b0bd-c6a13db4f159.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myprotein-wafer-cnc_1_ccc6aaeb-b763-4a42-b81a-ec0e38df1b46.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myp-wafer-choc_407adac4-fe0b-4249-9bcd-1deba0b42a7f.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myprotein-wafer-choc_1_c5a6db15-1c13-4646-ae86-aedd31b561ae.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myp-wafer-vanilla_1_0557037b-1bd3-4ce2-8212-71e3b1bce146.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/myp-wafer-vanilla_2_6a54d94b-7999-4b5c-9d2f-70b435d52248.jpg"
myprotein,supplement_hunt_8930021376177,MP-W7111-RAS,MyProtein Crispy Protein Wafers 10pk,myprotein-crispy-protein-wafers-10pk,https://www.supplementhunt.com/products/myprotein-crispy-protein-wafers-10pk,Snacks / Foods,"[""Bars & Cookies"", ""Bars & Snacks"", ""Hot Deal Of The Week"", ""On The Go""]",4.99,34.99,USD,0,2026-04-30T22:14:39.580862,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/My_Protein_Crispy_Wafers_10pk_Chocolate_Raspberry.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyProteinCrispyWafers10pkLemon.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/My_Protein_Crispy_Wafers_10pk_Vanilla.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyProteinCrispyWafers10pkChocolate.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyProteinCrispyWafers10pkChocolatesuppfacts1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/My_Protein_Crispy_Wafers_10pk_Vanilla_supp_facts_1.jpg"
myprotein,supplement_hunt_8980631355569,MP-PW7288-CH,MyProtein Crispy Protein Wafers 4pk,myprotein-crispy-protein-wafers-4pk,https://www.supplementhunt.com/products/myprotein-crispy-protein-wafers-4pk,Snacks / Foods,"[""Bars & Cookies"", ""Bars & Snacks"", ""Hot Deal Of The Week"", ""On The Go""]",2.99,14.99,USD,1,2026-04-30T22:14:39.574758,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyProteinCrispyWafers4pkChocolate.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/myprotein_protein_wafers_vanilla_4pk_4f6ecf3c-b10f-4b91-bc2f-dbfa9f706431.png,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyProteinCrispyWafers4pkChocolateactionshot1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyProteinCrispyWafers4pkChocolateactionshot2.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyProteinCrispyWafers4pkChocolatesuppfacts1.jpg"
myprotein,nz_muscle_10199638606005,5056307358981,MyProtein FlavDrops,myprotein-flavdrops,https://www.nzmuscle.co.nz/products/myprotein-flavdrops,,[],4.99,9.99,USD,1,2026-04-30T22:15:00.318301,"https://cdn.shopify.com/s/files/1/0964/9481/3365/files/flav-drops-white-choc_480ba768-2c7a-40bd-9def-1d1ae1850b95.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/flav-drops-white-choc_1_960683e8-697a-405c-8154-17eee09f9034.jpg"
myprotein,supplement_hunt_9001033367729,MP-IP7314-WV,MyProtein Impact Pre-Workout Singles 50 Pack,myprotein-impact-pre-workout-singles-50-pack,https://www.supplementhunt.com/products/myprotein-impact-pre-workout-singles-50-pack,Pre-Workout,"[""Pre-Workout"", ""Stim""]",19.99,49.99,USD,0,2026-04-30T22:14:39.567197,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinImpactPreWorkout1serveLemonade50pack.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinImpactPreWorkout1serveCherry50pack.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinImpactPreWorkout1serveLemonade.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinImpactPreWorkout1serveCherry.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinImpactPreWorkoutsuppfacts1.jpg"
myprotein,nz_muscle_10314472456373,,MyProtein Impact Protein Bar,myprotein-impact-protein-bar,https://www.nzmuscle.co.nz/products/myprotein-impact-protein-bar,,"[""protein bars / snacks""]",2.36,2.95,USD,1,2026-04-30T22:15:00.220167,"https://cdn.shopify.com/s/files/1/0964/9481/3365/files/IB-caramel-nut.avif,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/impact-bar-nip_0074f5eb-1694-4280-886b-5ad5d7db5b17.jpg,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/IB-cookies_2c0e2ef5-5768-4fd0-8d38-edfca3eae96d.avif,https://cdn.shopify.com/s/files/1/0964/9481/3365/files/IB-chocolate_5fbe8663-d4ab-407f-93c9-88fd40bc29be.jpg"
myprotein,supplement_hunt_8980666122417,MP-L7292-CAC,MyProtein Layered Protein Bars 12pk,myprotein-layered-protein-bars-12pk,https://www.supplementhunt.com/products/myprotein-layered-protein-bars-12pk,Snacks / Foods,"[""Bars & Cookies"", ""Bars & Snacks"", ""Hot Deal Of The Week"", ""On The Go""]",5.99,39.99,USD,1,2026-04-30T22:14:39.573706,"https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinProteinLayeredBar_CookiesandCream_12pack.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinProteinLayeredBar_ChocolatePeanutButter_12pack.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinProteinLayeredBar_ChocolatePeanutButter_12packactionshot1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinProteinLayeredBar_CookiesandCream_12packsuppfacts1.jpg,https://cdn.shopify.com/s/files/1/0554/4542/2257/files/MyproteinProteinLayeredBar_ChocolatePeanutButter_12packsuppfacts1.jpg"
