Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
orgain,7173298356333,851770006118,20g Clean Protein Shake - Creamy Chocolate Fudge,20g-clean-protein-shake,https://orgain.com/products/20g-clean-protein-shake,Drinks,"[""Build Muscle"", ""dairy-based"", ""drinks"", ""family:20g-clean-protein-shake"", ""flavor-variant"", ""gluten-free"", ""grass-fed-whey"", ""group:20g-clean-protein-shake"", ""high-protein"", ""kosher"", ""made-without-soy"", ""non-gmo"", ""nutritional-list-gluten-free"", ""nutritional-list-high-protein"", ""nutritional-list-kosher"", ""nutritional-list-made-without-soy"", ""nutritional-list-non-gmo"", ""Performance"", ""product"", ""Protein Shakes"", ""SV-OG"", ""upsell1"", ""YGroup_1""]",35.99,,USD,1,2026-04-30T22:50:31.910536,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006118-v12-Orgain-CleanProteinRTD-12pk-Chocolate-20240403-Combo-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006064-v10-CleanProteinRTD-Tetra-11oz-Chocolate-Front-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006118-v12-CleanProteinRTD-12Pack-Chocolate-20240403-NFP-LOI-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006064-v10-CleanProteinRTD-Tetra-11oz-Chocolate-Back-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006118-v12-Orgain-CleanProteinRTD-12pk-Chocolate-20240403-Back-HIRES-web_1200px.webp"
orgain,7170930114669,851770006101,20g Clean Protein Shake - Vanilla Bean,20g-clean-protein-shake-vanilla-bean,https://orgain.com/products/20g-clean-protein-shake-vanilla-bean,Drinks,"[""Build Muscle"", ""dairy-based"", ""drinks"", ""family:20g-clean-protein-shake"", ""flavor-variant"", ""gluten-free"", ""grass-fed-whey"", ""high-protein"", ""kosher"", ""made-without-soy"", ""non-gmo"", ""nutritional-list-gluten-free"", ""nutritional-list-high-protein"", ""nutritional-list-kosher"", ""nutritional-list-made-without-soy"", ""nutritional-list-non-gmo"", ""Performance"", ""product"", ""Protein Shakes"", ""upsell1""]",35.99,,USD,1,2026-04-30T22:50:31.971289,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006101-v12-Orgain-CleanProteinRTD-12pk-Vanilla-20240403-Combo-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006071-v9-CleanProteinRTD-Tetra-11oz-Vanilla-20220912-NFP-LOI-web_1200px.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006071-v9-CleanProteinRTD-Tetra-11oz-Vanilla-Front-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006101-v12-Orgain-CleanProteinRTD-12pk-Vanilla-20240403-Back-HIRES-web_1200px.webp"
orgain,7999912738925,810167390216,20g Plant Protein + 50 Superfoods Shakes,20g-plant-protein-50-superfoods-shakes,https://orgain.com/products/20g-plant-protein-50-superfoods-shakes,Drinks,"[""drinks"", ""gluten-free"", ""made-without-dairy"", ""made-without-lactose"", ""made-without-soy"", ""new"", ""nutritional-list-gluten-free"", ""nutritional-list-made-without-dairy"", ""nutritional-list-made-without-lactose"", ""nutritional-list-made-without-soy"", ""nutritional-list-vegan"", ""plant"", ""Plant Based Protein"", ""plant-based"", ""product"", ""vegan""]",32.99,,USD,1,2026-04-30T22:50:31.735343,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390216-v1-Orgain-20gProtein_Superfoods-12pk-Chocolate-20251125-Combo-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167392029-v2-Orgain-20gPlantProtein_Superfoods-Tetra-11oz-Chocolate-20250905-NFP-LOI-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167392029-v2-Orgain-20gPlantProtein_Superfoods-Tetra-11oz-Chocolate-20250905-Front-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167392029-v2-Orgain-20gPlantProtein_Superfoods-Tetra-11oz-Chocolate-20250905-Back-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390216-v1-Orgain-20gProtein_Superfoods-12pk-Chocolate-20251125-AngledL-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390216-v1-Orgain-20gProtein_Superfoods-12pk-Chocolate-20251125-Back-HIRES-web_1200px.webp"
orgain,4736064127085,851770006910,20g Plant-Based Protein Shake,20g-plant-based-protein-shake,https://orgain.com/products/20g-plant-based-protein-shake,Drinks,"[""Build Muscle"", ""drinks"", ""family:20g-plant-protein-shake"", ""flavor-variant"", ""gluten-free"", ""high-protein"", ""kosher"", ""made-without-dairy"", ""made-without-lactose"", ""made-without-soy"", ""no-sugar-added"", ""non-gmo"", ""nutritional-list-gluten-free"", ""nutritional-list-high-protein"", ""nutritional-list-kosher"", ""nutritional-list-made-without-dairy"", ""nutritional-list-made-without-lactose"", ""nutritional-list-made-without-soy"", ""nutritional-list-no-sugar"", ""nutritional-list-vegan"", ""Performance"", ""Plant Based Protein"", ""plant-based"", ""product"", ""Protein Shakes"", ""upsell2"", ""vegan""]",35.99,,USD,1,2026-04-30T22:50:32.008983,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006910-v5-Orgain-20gPlant-12Pack-Chocolate-Combo-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006163-v7-Orgain-20gPlantProteinRTD-Tetra-11oz-Chocolate-20220914-NFP-LOIcopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006163-v7-Orgain-20gPlantBasedRTD-Tetra-Chocolate-Front-HIREScopy_8bcdbdc7-77d7-4a21-bec5-cccd65adb4cf.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006163-v7-Orgain-20gPlantBasedRTD-Tetra-Chocolate-Back-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006910-v5-Orgain-20gPlant-12Pack-Chocolate-AngledR-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006910-v5-Orgain-20gPlant-12Pack-Chocolate-Back-HIRES.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006163-v7-Orgain-20gPlantBasedRTD-Tetra-Chocolate-LeftSide-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006163-v7-Orgain-20gPlantBasedRTD-Tetra-Chocolate-RightSide-HIREScopy.webp"
orgain,7546385432685,810167390049,20g Protein Whey Based Protein Shake 4oz - Chocolate Fudge,4oz-ready-to-drink-20g-protein-shot-chocolate-fudge,https://orgain.com/products/4oz-ready-to-drink-20g-protein-shot-chocolate-fudge,Discontinued,"[""discontinued"", ""product_status: forceOOS""]",35.99,,USD,1,2026-04-30T22:50:31.840341,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009546-v1-Orgain-20gShot-4oz-Chocolate-20240610-Front-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009546-v1-Orgain-20gShot-4oz-Chocolate-20240610-NFP-LOI-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/20g_4oz_whey_based_protein_shake.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009546-v1-Orgain-20gShot-4oz-Chocolate-20240610-SideA-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009546-v1-Orgain-20gShot-4oz-Chocolate-20240610-SideB-HIRES-web_1200px.webp"
orgain,7546385629293,810167390032,20g Protein Whey Based Protein Shake 4oz - Vanilla Bean,4oz-ready-to-drink-20g-protein-shot-vanilla-bean,https://orgain.com/products/4oz-ready-to-drink-20g-protein-shot-vanilla-bean,Discontinued,"[""discontinued"", ""product_status: forceOOS""]",35.99,,USD,1,2026-04-30T22:50:31.838628,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009553-v1-Orgain-20gShot-4oz-Vanilla-20240610-Front-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009553-v1-Orgain-20gShot-4oz-Vanilla-20240610-NFP-LOI-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/20g_4oz_whey_based_protein_shake.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009553-v1-Orgain-20gShot-4oz-Vanilla-20240610-SideA-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770009553-v1-Orgain-20gShot-4oz-Vanilla-20240610-SideB-HIRES-web_1200px.webp"
orgain,4021935046765,851770006255,26g Organic Protein™ Grass Fed Protein Shake,26g-organic-protein-grass-fed-protein-shake,https://orgain.com/products/26g-organic-protein-grass-fed-protein-shake,Drinks,"[""Build Muscle"", ""dairy-based"", ""drinks"", ""family:26g-grass-fed-protein-shaje"", ""flavor-variant"", ""gluten-free"", ""grass-fed-whey"", ""high-protein"", ""kosher"", ""made-without-soy"", ""no-sugar-added"", ""non-gmo"", ""nutritional-list-gluten-free"", ""nutritional-list-high-protein"", ""nutritional-list-kosher"", ""nutritional-list-made-without-soy"", ""nutritional-list-no-sugar"", ""nutritional-list-non-gmo"", ""nutritional-list-usda-organic"", ""Performance"", ""product"", ""Protein Shakes"", ""upsell1"", ""usda-organic""]",42.99,,USD,1,2026-04-30T22:50:32.022294,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006231-v7-26gRTD-Bottle-Chocolate-Front-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006231-v7-26gRTD-Bottle-Chocolate-20221028-NFP-LOIcopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006231-v7-26gRTD-Bottle-Chocolate-Back-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006255-v6-26gRTD-12Pack-Chocolate-AngledR-HIREScopy.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770006255-v6-26gRTD-12Pack-Chocolate-Back-HIREScopy.webp"
orgain,7173301502061,851770007603,30g Plant Protein Powder - Chocolate,30g-chocolate-plant-based-protein-powder,https://orgain.com/products/30g-chocolate-plant-based-protein-powder,Powders,"[""Daily Nutrition"", ""family:opp-sport"", ""flavor-variant"", ""gluten-free"", ""high-protein"", ""kosher"", ""made-without-dairy"", ""made-without-lactose"", ""made-without-soy"", ""no-sugar-added"", ""non-gmo"", ""nutritional-list-gluten-free"", ""nutritional-list-high-protein"", ""nutritional-list-kosher"", ""nutritional-list-made-without-dairy"", ""nutritional-list-made-without-lactose"", ""nutritional-list-made-without-soy"", ""nutritional-list-no-sugar"", ""nutritional-list-non-gmo"", ""nutritional-list-usda-organic"", ""nutritional-list-vegan"", ""Performance"", ""Plant Based Protein"", ""plant-based"", ""powders"", ""product"", ""protein-powder"", ""Split Variant Replacement"", ""sport-powder"", ""upsell2"", ""usda-organic"", ""vegan"", ""YCRF_sport""]",32.99,,USD,1,2026-04-30T22:50:31.872814,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007603-v4-Orgain-30gPlant-2.01lb-Chocolate-20240320-Front-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007603-v4-Orgain-30gPlant-2.01lb-Chocolate-20240320-NFP-LOI-01.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007603_2lb_30gPlantPowder_Choc_V4_PackagingMayVary_ATF_060524_1.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007603-v4-Orgain-30gPlant-2.01lb-Chocolate-20240320-SideA-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007603-v4-Orgain-30gPlant-2.01lb-Chocolate-20240320-SideB-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/Powder_Number_1_Claim_GreenBackground_OPP-Sport_Choc_061324_1.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008587-v1-Orgain-30gSport-1.26lb-Chocolate-20240402-Front-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008587-v1-Orgain-30gSport-1.26lb-Chocolate-20240402-NFP-LOI-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008587-v1-Orgain-30gSport-1.26lb-Chocolate-20240402-SideA-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008587-v1-Orgain-30gSport-1.26lb-Chocolate-20240402-SideB-HIRES-web_1200px.webp"
orgain,7171613393005,851770007610,30g Plant Protein Powder - Vanilla,30g-vanilla-plant-based-protein-powder,https://orgain.com/products/30g-vanilla-plant-based-protein-powder,Powders,"[""Daily Nutrition"", ""family:opp-sport"", ""flavor-variant"", ""gluten-free"", ""high-protein"", ""kosher"", ""made-without-dairy"", ""made-without-lactose"", ""made-without-soy"", ""no-sugar-added"", ""non-gmo"", ""nutritional-list-gluten-free"", ""nutritional-list-high-protein"", ""nutritional-list-kosher"", ""nutritional-list-made-without-dairy"", ""nutritional-list-made-without-lactose"", ""nutritional-list-made-without-soy"", ""nutritional-list-no-sugar"", ""nutritional-list-non-gmo"", ""nutritional-list-usda-organic"", ""nutritional-list-vegan"", ""Performance"", ""Plant Based Protein"", ""plant-based"", ""powders"", ""product"", ""protein-powder"", ""sport-powder"", ""upsell2"", ""usda-organic"", ""vegan"", ""YCRF_NCT""]",32.99,,USD,1,2026-04-30T22:50:31.989548,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007610-v4-Orgain-30gPlant-2.01lb-Vanilla-20240320-Front-HIRES.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007610-v4-Orgain-30gPlant-2.01lb-Vanilla-20240320-NFP-LOI.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007610_2lb_30gPlantPowder_Vanilla_V4_PackagingMayVary_ATF_070224_1.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007610-v4-Orgain-30gPlant-2.01lb-Vanilla-20240320-SideA-HIRES.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770007610-v4-Orgain-30gPlant-2.01lb-Vanilla-20240320-SideB-HIRES.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/Powder_Number_1_Claim_GreenBackground_OPP-Sport_Van_060524_1.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008556-v1-Orgain-30gSport-1.26lb-Vanilla-20240509-Front-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008556-v1-Orgain-30gSport-1.26lb-Vanilla-20240509-NFP-LOI-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008556-v1-Orgain-30gSport-1.26lb-Vanilla-20240509-SideA-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/851770008556-v1-Orgain-30gSport-1.26lb-Vanilla-20240509-SideB-HIRES-web_1200px.webp"
orgain,7673823854701,810167390162,30g Protein Shake - Café Latte,30g-protein-shake-cafe-latte,https://orgain.com/products/30g-protein-shake-cafe-latte,Drinks,"[""Build Muscle"", ""dairy-based"", ""drinks"", ""family:30g-protein-shake"", ""gluten-free"", ""high-protein"", ""kosher"", ""made-without-soy"", ""nutritional-list-gluten-free"", ""nutritional-list-high-protein"", ""nutritional-list-kosher"", ""nutritional-list-made-without-soy"", ""Performance"", ""product"", ""Protein Shakes""]",35.99,,USD,1,2026-04-30T22:50:31.770788,"https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390162-v1-Orgain-30gProteinRTD-12Pack-CafeLatte-20250207-Combo-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390155-v1-Orgain-30gProteinRTD-Tetra-CafeLatte-20250207-NFP-LOI-shopify_800px.jpg,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390155-v1-Orgain-30gProteinRTD-Tetra-CafeLatte-20250207-Front-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390155-v1-Orgain-30gProteinRTD-Tetra-CafeLatte-20250207-Back-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390162-v1-Orgain-30gProteinRTD-12Pack-CafeLatte-20250207-AngledR-HIRES-web_1200px.webp,https://cdn.shopify.com/s/files/1/0074/0832/0621/files/810167390162-v1-Orgain-30gProteinRTD-12Pack-CafeLatte-20250207-Back-HIRES-web_1200px.webp"
