Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
performance_lab,7327028674620,4-b-complex,B-Complex,b-complex,https://www.performancelab.com/products/b-complex,,"[""Core Range""]",11.0,44.0,USD,1,2026-04-30T23:07:08.532697,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-b-complex-main-1_28d81468-e9b8-43d5-b707-6da6b3021046.webp
performance_lab,3857576427580,4-caffeine-2-bundle,Caffeine 2™,caffeine-2,https://www.performancelab.com/products/caffeine-2,Core Formulas,"[""Core Range"", ""YGroup_group16""]",44.0,,USD,1,2026-04-30T23:07:08.541324,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-caffeine-2-main-1_53b755b7-59af-4f73-924a-09e3409c0fe8.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-caffeine-2-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-caffeine-2-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-caffeine-2-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-caffeine-2-main-5.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-caffeine-2-main-6.webp"
performance_lab,7327147294780,4-calcium,Calcium,calcium,https://www.performancelab.com/products/calcium,,"[""Core Range""]",9.25,37.0,USD,1,2026-04-30T23:07:08.526448,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-calcium-main-1_ebf7a6c3-925e-46f4-9ccb-8292bebf008d.webp
performance_lab,7106418114620,4-d3k2-bundle,D3 + K2,d3k2,https://www.performancelab.com/products/d3k2,Core Formulas,"[""Core Range""]",29.0,,USD,1,2026-04-30T23:07:08.539368,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-d3k2-main-1_44e6618d-1a89-438a-8ede-78b44cfd25c7.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-d3k2-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-d3k2-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-d3k2-main-4.webp"
performance_lab,3151663267904,4-energy-bundle,Energy,energy,https://www.performancelab.com/products/energy,Core Formulas,"[""Core Range"", ""YGroup_group4""]",69.0,,USD,1,2026-04-30T23:07:08.586347,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-energy-main-1_d23548d8-832d-46ee-955b-fab394c9ea03.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-energy-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-energy-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-energy-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-energy-main-5.webp"
performance_lab,3857581539388,4-flex-bundle,Flex,flex,https://www.performancelab.com/products/flex,Core Formulas,"[""Core Range"", ""YGroup_group5""]",49.0,,USD,1,2026-04-30T23:07:08.576171,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-flex-main-1_cd51b22e-82f3-4a24-9f49-9f10730df31c.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-flex-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-flex-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-flex-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-flex-main-5.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-flex-main-6.webp"
performance_lab,7197090512956,4-immune-bundle,Immune,immune,https://www.performancelab.com/products/immune,Core Formulas,"[""Core Range""]",34.0,,USD,1,2026-04-30T23:07:08.535206,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-immune-main-1_454ddad6-92e3-46f6-81cc-a777a49d0738.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-immune-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-immune-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-immune-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-immune-main-5.webp"
performance_lab,7327168299068,4-iodine,Iodine,iodine,https://www.performancelab.com/products/iodine,,"[""Core Range""]",29.0,,USD,1,2026-04-30T23:07:08.522929,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-iodine-main-1_c0a0bfcf-7961-4c3b-82f1-ce60c481b183.webp
performance_lab,7327133990972,4-iron-complex,Iron Complex,iron-complex,https://www.performancelab.com/products/iron-complex,,"[""Core Range""]",7.25,29.0,USD,1,2026-04-30T23:07:08.528212,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-iron-complex-main-1_0045f5d0-fa14-44ba-81f6-d54fc7000d13.webp
performance_lab,3892683407420,4-mct-bundle,MCT Energy Oil,mct,https://www.performancelab.com/products/mct,Core Formulas,"[""Core Range""]",39.0,,USD,1,2026-04-30T23:07:08.574727,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mct-main-1.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mct-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mct-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mct-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mct-main-5.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mct-main-6.webp"
performance_lab,7327094145084,4-magnesium,Magnesium,magnesium,https://www.performancelab.com/products/magnesium,,"[""Core Range""]",52.0,,USD,1,2026-04-30T23:07:08.531037,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-magnesium-main-1.webp
performance_lab,7150164967484,4-mlp-us-pl,Mind Lab Pro®,mind-lab-pro,https://www.performancelab.com/products/mind-lab-pro,,"[""Core Range""]",69.0,,USD,1,2026-04-30T23:07:08.537571,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mindlabpro-main-1_4fccd3f8-826b-4cae-bfbb-7dbb32fff16d.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mindlabpro-main-2_3f4ba336-9e26-4f62-8f4a-f7893618b1d1.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mindlabpro-main-3_183cea09-3d42-4357-9bc7-5fb51196a6cb.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mindlabpro-main-4_7d37a9ae-33f4-4d2d-af2c-5c6ea25537f3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mindlabpro-main-5_a4fd5203-413d-40c1-8c3d-56e32e613e40.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mindlabpro-main-6_6055186e-8521-42e4-9c59-a30948d97a77.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-mindlabpro-main-7_a9f4a3a2-86ec-4d46-9bf1-a0d5936ee789.webp"
performance_lab,4479590137916,4-multimen-bundle,NutriGenesis® Multi for Men,nutrigenesis-multi-men,https://www.performancelab.com/products/nutrigenesis-multi-men,Core Formulas,"[""Core Range"", ""YGroup_group9""]",49.0,,USD,1,2026-04-30T23:07:08.566799,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-1_d74b6279-be7b-4386-9874-9ac3d33d993e.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-7.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-6.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-5.webp"
performance_lab,4479588991036,4-multiwomen-bundle,NutriGenesis® Multi for Women,nutrigenesis-multi-women,https://www.performancelab.com/products/nutrigenesis-multi-women,Core Formulas,"[""Core Range"", ""YGroup_group10""]",49.0,,USD,1,2026-04-30T23:07:08.557347,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-women-main-1_a5a9655f-7554-46bc-9b9f-aed164852be9.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-2_872a4b99-ff8a-4256-94d6-f2160c3a1d06.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-women-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-men-main-4_5719ca20-98ca-46a9-95e5-200cfd36278e.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-women-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-women-main-6.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-nutrigenesis-multi-women-main-7.webp"
performance_lab,3151664578624,4-omega-bundle,Omega-3,omega-3,https://www.performancelab.com/products/omega-3,Core Formulas,"[""Core Range""]",49.0,,USD,1,2026-04-30T23:07:08.543461,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-omega-3-main-1_bed94b90-fa25-4274-bb3c-b262cbd12ea5.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-omega-3-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-omega-3-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-omega-3-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-omega-3-main-5.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-omega-3-main-6.webp"
performance_lab,7327161843772,4-potassium,Potassium,potassium,https://www.performancelab.com/products/potassium,,"[""Core Range""]",9.25,37.0,USD,1,2026-04-30T23:07:08.524654,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-potassium-main-1.webp
performance_lab,7150165098556,4-prelabpro-bundle,Pre Lab Pro®,pre-lab-pro,https://www.performancelab.com/products/pre-lab-pro,,"[""Core Range""]",59.0,,USD,1,2026-04-30T23:07:08.550990,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prelabpro-main-1.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prelabpro-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prelabpro-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prelabpro-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prelabpro-main-5.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prelabpro-main-6.webp"
performance_lab,3151665168448,4-prebiotic-bundle,Prebiotic,prebiotic,https://www.performancelab.com/products/prebiotic,Core Formulas,"[""Core Range"", ""YGroup_group13""]",44.0,,USD,1,2026-04-30T23:07:08.577703,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prebiotic-main-1_084fd7be-6471-42c8-8ce4-7288ba687229.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prebiotic-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prebiotic-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prebiotic-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prebiotic-main-5.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-prebiotic-main-6.webp"
performance_lab,4134649266236,sportmixer,SPORTMixer®,sportmixer,https://www.performancelab.com/products/sportmixer,Core Formulas,"[""Core Range""]",15.0,,USD,1,2026-04-30T23:07:08.572269,"https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-sportmixer-main-1.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-sportmixer-main-2.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-sportmixer-main-3.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-sportmixer-main-4.webp,https://cdn.shopify.com/s/files/1/0111/4682/1696/files/product-sportmixer-main-5.webp"
