Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
redcon1,9565961994,,$100 Gift Card,gift-card,https://redcon1.com/products/gift-card,Gift Cards,"[""Deal Threshold Exempt"", ""Employee Unfulfillable"", ""Gift Card""]",100.0,,USD,1,2026-04-30T14:52:02.723186,https://cdn.shopify.com/s/files/1/1304/0433/products/100.png
redcon1,4378138148912,,$180 Gift Card,180-gift-card,https://redcon1.com/products/180-gift-card,Gift Card,"[""Deal Threshold Exempt"", ""Employee Unfulfillable"", ""Gift Card""]",180.0,,USD,1,2026-04-30T14:52:02.718119,https://cdn.shopify.com/s/files/1/1304/0433/products/us1.jpg
redcon1,1415341277301,,$20 Gift Card,20-gift-card,https://redcon1.com/products/20-gift-card,Gift Cards,"[""Deal Threshold Exempt"", ""Employee Unfulfillable"", ""Gift Card""]",20.0,,USD,1,2026-04-30T14:52:02.719812,https://cdn.shopify.com/s/files/1/1304/0433/products/20_073dc51a-36c3-4501-9b5e-8a03ff405c08.png
redcon1,9599478602,,$50 Gift Card,50-gift-card,https://redcon1.com/products/50-gift-card,Gift Cards,"[""Deal Threshold Exempt"", ""Employee Unfulfillable"", ""Gift Card""]",50.0,,USD,1,2026-04-30T14:52:02.721568,https://cdn.shopify.com/s/files/1/1304/0433/products/50.png
redcon1,7549498327088,RC1-3D-PUFF-EMB-SNPBK-RED,3D Puff Embroidered Snapback,3d-puff-embroidered-snapback,https://redcon1.com/products/3d-puff-embroidered-snapback,Hidden,"[""BOGO Eligible"", ""Discountable"", ""Non Tier Op Discountable""]",14.99,27.99,USD,1,2026-04-30T14:52:02.597152,"https://cdn.shopify.com/s/files/1/1304/0433/files/BLACK_WHITE_HAT.png,https://cdn.shopify.com/s/files/1/1304/0433/files/BLACK_GOLD_HAT.png,https://cdn.shopify.com/s/files/1/1304/0433/files/BLACK_RED_HAT.png"
redcon1,7466795008048,RC1-5IN-MOTION-ELITE-SHORTS-S,"5"" Motion Elite Shorts",5-motion-elite-shorts,https://redcon1.com/products/5-motion-elite-shorts,Apparel,"[""Apparel"", ""BOGO Eligible"", ""Discountable"", ""Men"", ""Shorts""]",34.99,,USD,1,2026-04-30T14:52:02.683656,"https://cdn.shopify.com/s/files/1/1304/0433/files/shorts-1.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/shorts-0.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/shorts-2.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/Artboard1_6301a87e-56b0-4db7-a8ed-226a597e536c.png"
redcon1,7783043039280,RC1-PRF-SH-GRY-S,"5"" PRform Shorts",prform-shorts,https://redcon1.com/products/prform-shorts,,"[""Apparel"", ""badge_New"", ""BOGO Eligible"", ""Men"", ""New Releases"", ""Shorts""]",34.99,,USD,1,2026-04-30T14:52:02.304275,"https://cdn.shopify.com/s/files/1/1304/0433/files/blackshorts-1.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/grayshorts-1.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/blackshorts-2.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/grayshorts-2.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/blackshorts-3.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/grayshorts-3.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/blackshorts-4.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/grayshorts-4.jpg"
redcon1,7537103110192,RC1-GREEN-MOTION-ELITE-SHORTS-S,"7"" Green Motion Elite Shorts",7-green-motion-elite-shorts,https://redcon1.com/products/7-green-motion-elite-shorts,Apparel,"[""Apparel"", ""BOGO Eligible"", ""Discountable"", ""Men"", ""Shorts""]",34.99,,USD,1,2026-04-30T14:52:02.599881,"https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-GREEN1.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-GREEN2.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-GREEN3.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-GREEN4.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-GREEN5.jpg"
redcon1,7366716620848,RC1-MOTION-ELITE-SHORTS-S,"7"" Motion Elite Shorts",motion-elite-shorts,https://redcon1.com/products/motion-elite-shorts,Apparel,"[""Apparel"", ""BOGO Eligible"", ""Discountable"", ""Men"", ""Shorts""]",34.99,,USD,1,2026-04-30T14:52:02.713461,"https://cdn.shopify.com/s/files/1/1304/0433/files/700E5D9D-9F85-4728-B673-711F5DE60AB5.png,https://cdn.shopify.com/s/files/1/1304/0433/files/2F5805BF-0D70-4A8B-8E19-ED06B36B5252.png,https://cdn.shopify.com/s/files/1/1304/0433/files/Artboard1.png"
redcon1,7617032323120,RC1-NAVY-MOTION-ELITE-SHORTS-S,"7"" Navy Motion Elite Shorts",7-navy-motion-elite-shorts,https://redcon1.com/products/7-navy-motion-elite-shorts,Apparel,"[""Apparel"", ""BOGO Eligible"", ""Discountable"", ""Men"", ""Shorts""]",34.99,,USD,1,2026-04-30T14:52:02.488963,"https://cdn.shopify.com/s/files/1/1304/0433/files/2_b7cd8cd3-2f4d-4b60-8ac2-b1c82e919ba4.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/1_a8c1215f-6588-4c0c-a17c-56421ae1aa2d.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/3_f87071cd-f933-49c9-86dd-872f38b6bf6f.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/4_4a914eb0-b6f1-4441-8e63-b5b1a9d1b734.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/5_f2a28e3b-3520-47b9-95fb-bc8b402dc58e.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/6_aa42a996-d45e-40f0-ac2f-dc911c4d942f.jpg"
redcon1,7537102880816,RC1-TAN-MOTION-ELITE-SHORTS-S,"7"" Tan Motion Elite Shorts",7-tan-motion-elite-shorts,https://redcon1.com/products/7-tan-motion-elite-shorts,Apparel,"[""Apparel"", ""BOGO Eligible"", ""Discountable"", ""Men"", ""Shorts""]",34.99,,USD,0,2026-04-30T14:52:02.602594,"https://cdn.shopify.com/s/files/1/1304/0433/files/motion-elite-shorts-1.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-BEIGE2.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-BEIGE3.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-BEIGE4.jpg,https://cdn.shopify.com/s/files/1/1304/0433/files/MOTIONELITESHORTS-BEIGE5.jpg"
redcon1,7570713182256,RC1-BLK-GLD-AR-HOODIE-S,Always Ready Hoodie,black-gold-always-ready-hoodie,https://redcon1.com/products/black-gold-always-ready-hoodie,,"[""BOGO Eligible""]",54.99,,USD,1,2026-04-30T14:52:02.584164,"https://cdn.shopify.com/s/files/1/1304/0433/files/BLACK_GOLD_HOODIE.png,https://cdn.shopify.com/s/files/1/1304/0433/files/BLACK_RED_HOODIE.png"
