Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
swolverine,8799752159512,PATCH - AOD,Adapt Or Die Patch,adapt-or-die-patch,https://swolverine.com/products/adapt-or-die-patch,Accessories,"[""Accessories"", ""Patches""]",4.5,,USD,1,2026-05-01T01:25:58.708993,https://cdn.shopify.com/s/files/1/1283/2557/files/AdaptOrDieSwolverinePatch.png
swolverine,4295554039886,STICKER - AODSKULL,"Adapt or Die Sticker – 2x2"" Die-Cut Gym Sticker | Swolverine",adapt-or-die-skull-sticker,https://swolverine.com/products/adapt-or-die-skull-sticker,Accessories,"[""Stickers""]",2.0,,USD,1,2026-05-01T01:25:58.746931,"https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-adapt-or-die-sticker-2x2-die-cut-gym-sticker-swolverine-4295554039886-51646382407960.png,https://cdn.shopify.com/s/files/1/1283/2557/products/Swolverine-adapt-or-die-sticker-2x2-die-cut-gym-sticker-swolverine-4295554039886-14809085182030.jpg"
swolverine,1387847680078,STICKER - AOD,"Adapt or Die Sticker – 2x2"" Matte Black Circle Decal | Swolverine",adapt-or-die-sticker,https://swolverine.com/products/adapt-or-die-sticker,Accessories,"[""Stickers""]",1.5,,USD,1,2026-05-01T01:25:58.757279,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-adapt-or-die-sticker-2x2-matte-black-circle-decal-swolverine-1387847680078-51647385239832.png
swolverine,6648416796750,ASHWAGANDHAGUMMY,Ashwagandha Gummies,ashwagandha-gummies,https://swolverine.com/products/ashwagandha-gummies,Supplements,"[""Aging"", ""Ashwagandha"", ""Ashwagandha Gummies"", ""C&C"", ""Daily Vitamins"", ""GMHB"", ""Gummies"", ""Gummy"", ""PCT"", ""Testosterone Booster""]",16.99,,USD,1,2026-05-01T01:25:58.734460,"https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-ashwagandha-gummies-6648416796750-51996769452312.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-ashwagandha-gummies-6648416796750-51996769714456.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-ashwagandha-gummies-6648416796750-51996776235288.png,https://cdn.shopify.com/s/files/1/1283/2557/products/Swolverine-ashwagandha-gummies-6648416796750-28705397538894.jpg,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-plant-protein-4292865261646-52472656232728.png"
swolverine,4371565281358,BVITAMINCOMPLEX,B-Vitamin Complex,b-vitamin-complex,https://swolverine.com/products/b-vitamin-complex,Supplements,"[""Aging"", ""B-Complex"", ""B-Vitamins"", ""BHSN"", ""C&C"", ""Daily Vitamins"", ""Endurance"", ""Vitamin B""]",16.99,,USD,1,2026-05-01T01:25:58.742651,"https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-b-vitamin-complex-4371565281358-51608004002072.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-b-vitamin-complex-4371565281358-51608003969304.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-b-vitamin-complex-4371565281358-51608005148952.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-b-vitamin-complex-4371565281358-51608003838232.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-plant-protein-4292865261646-52472656232728.png"
swolverine,227055370252,BCAA,BCAA,bcaa,https://swolverine.com/products/bcaa,Supplements,"[""BCAA"", ""Electrolytes"", ""Endurance"", ""Hydration"", ""Recovery"", ""Sports Performance"", ""Strength"", ""WHPH""]",39.99,,USD,1,2026-05-01T01:25:58.771446,"https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597175259416.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597175226648.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597180043544.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597175488792.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597175587096.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597175849240.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597175914776.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-bcaa-2-1-1-227055370252-51597175554328.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-plant-protein-4292865261646-52472656232728.png"
swolverine,1321306193998,BETAALANINE,Beta-Alanine,beta-alanine,https://swolverine.com/products/beta-alanine,Supplements,"[""Beta Alanine"", ""Carnosyn"", ""Endurance"", ""Recovery"", ""Sports Performance"", ""Strength"", ""Vegan"", ""WHPH""]",29.99,,USD,1,2026-05-01T01:25:58.769366,"https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-beta-alanine-1321306193998-51997084418328.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-beta-alanine-1321306193998-51997088973080.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-beta-alanine-1321306193998-51997088710936.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-beta-alanine-1321306193998-51997088907544.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-plant-protein-4292865261646-52472656232728.png"
swolverine,9903952658712,ICON-BB-S,Black: Black Swolverine Icon Tee,black-black-icon-tee,https://swolverine.com/products/black-black-icon-tee,Apparel,"[""apparel""]",28.99,,USD,1,2026-05-01T01:25:58.687087,"https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-black-black-swolverine-icon-tee-9903952658712-51312212377880.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-black-black-swolverine-icon-tee-9903952658712-51312246620440.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-black-black-swolverine-icon-tee-9903952658712-51312224207128.png"
swolverine,9880956272920,,Build Your PCT,build-your-pct,https://swolverine.com/products/build-your-pct,,[],0.0,,USD,1,2026-05-01T01:25:58.689149,
swolverine,1321346629710,CITRULLINEMALATE,Citrulline Malate,citrulline-malate,https://swolverine.com/products/citrulline-malate,Supplements,"[""Citrulline Malate"", ""Endurance"", ""L-Citrulline"", ""Nitric Oxide"", ""PCT"", ""Recovery"", ""Sports Performance"", ""Strength"", ""Vegan"", ""WHPH""]",26.99,,USD,1,2026-05-01T01:25:58.767324,"https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-citrulline-malate-1321346629710-51599988359448.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-citrulline-malate-1321346629710-51599988588824.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-citrulline-malate-1321346629710-52099530817816.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-citrulline-malate-1321346629710-51599988556056.png,https://cdn.shopify.com/s/files/1/1283/2557/files/Swolverine-plant-protein-4292865261646-52472656232728.png"
